"Specimen received date";"Daily cases";"Cumulative cases"
"16 Nov";3104;758689
"17 Nov";2876;761565
"18 Nov";2938;764503
"19 Nov";2931;767434
"20 Nov";3209;770643
"21 Nov";1742;772385
"22 Nov";1029;773414
"23 Nov";3738;777152
"24 Nov";3875;781027
"25 Nov";3794;784821
"26 Nov";3435;788256
"27 Nov";3329;791585
"28 Nov";1883;793468
"29 Nov";1207;794675
"30 Nov";4494;799169
"01 Dec";4993;804162
"02 Dec";5226;809388
"03 Dec";4729;814117
"04 Dec";5379;819496
"05 Dec";3671;823167
"06 Dec";1767;824934
"07 Dec";7473;832407
"08 Dec";8465;840872
"09 Dec";8718;849590
"10 Dec";9264;858854
"11 Dec";8780;867634
"12 Dec";5406;873040
"13 Dec";3598;876638
"14 Dec";10999;887637
"15 Dec";11479;899116
"16 Dec";6347;905463
"17 Dec";12246;917709
"18 Dec";12685;930394
"19 Dec";7551;937945
"20 Dec";5325;943270
"21 Dec";15624;958894
"22 Dec";15775;974669
"23 Dec";15303;989972
"24 Dec";12910;1002882
"25 Dec";5056;1007938
"26 Dec";6706;1014644
"27 Dec";6384;1021028
"28 Dec";19927;1040955
"29 Dec";21263;1062218
"30 Dec";20962;1083180
"31 Dec";18875;1102055
"01 Jan";9477;1111532
"02 Jan";11944;1123476
"03 Jan";8716;1132192
"04 Jan";24056;1156248
"05 Jan";26564;1182812
"06 Jan";23828;1206640
"07 Jan";22120;1228760
"08 Jan";20786;1249546
"09 Jan";13567;1263113
"10 Jan";8598;1271711
"11 Jan";19209;1290920
"12 Jan";20014;1310934
"13 Jan";17897;1328831
"14 Jan";15211;1344042
"15 Jan";13428;1357470
"16 Jan";8117;1365587
"17 Jan";5044;1370631
"18 Jan";12001;1382632
"19 Jan";12247;1394879
"20 Jan";10323;1405202
"21 Jan";9042;1414244
"22 Jan";8300;1422544
"23 Jan";4646;1427190
"24 Jan";2416;1429606
"25 Jan";6875;1436481
"26 Jan";6824;1443305
"27 Jan";5622;1448927
"28 Jan";4652;1453579
"29 Jan";4324;1457903
"30 Jan";2356;1460259
"31 Jan";1420;1461679
"01 Feb";4520;1466199
"02 Feb";4209;1470408
"03 Feb";3435;1473843
"04 Feb";3079;1476922
"05 Feb";2885;1479807
"06 Feb";1369;1481176
"07 Feb";1030;1482206
"08 Feb";3270;1485476
"09 Feb";2906;1488382
"10 Feb";2517;1490899
"11 Feb";2359;1493258
"12 Feb";2198;1495456
"13 Feb";939;1496395
"14 Feb";677;1497072
"15 Feb";2313;1499385
"16 Feb";2100;1501485
"17 Feb";1802;1503287
"18 Feb";1700;1504987
"19 Feb";1659;1506646
"20 Feb";837;1507483
"21 Feb";532;1508015
"22 Feb";1931;1509946
"23 Feb";1753;1511699
"24 Feb";1676;1513375
"25 Feb";1450;1514825
"26 Feb";1348;1516173
"27 Feb";653;1516826
"28 Feb";428;1517254
