date,estimatedCases,estimatedCasesCILower,estimatedCasesCIUpper
2021-12-09,0,0,373
2021-12-10,0,0,405
2021-12-11,0,0,417
2021-12-12,0,0,421
2021-12-13,0,0,506
2021-12-14,0,0,517
2021-12-15,0,0,542
2021-12-16,0,0,463
2021-12-17,0,0,450
2021-12-18,0,0,440
2021-12-19,0,0,458
2021-12-20,0,0,382
2021-12-21,0,0,416
2021-12-22,0,0,422
2021-12-23,0,0,384
2021-12-24,0,0,469
2021-12-25,0,0,456
2021-12-26,0,0,386
2021-12-27,0,0,374
2021-12-28,0,0,374
2021-12-29,0,0,342
2021-12-30,0,0,332
2021-12-31,0,0,271
2022-01-01,0,0,265
2022-01-02,0,0,275
2022-01-03,0,0,267
2022-01-04,0,0,246
2022-01-05,0,0,233
2022-01-06,0,0,241
2022-01-07,0,0,247
2022-01-08,0,0,266
2022-01-09,0,0,252
2022-01-10,0,0,241
2022-01-11,0,0,229
2022-01-12,0,0,211
2022-01-13,0,0,197
2022-01-14,0,0,185
2022-01-15,0,0,161
2022-01-16,0,0,126
2022-01-17,0,0,138
2022-01-18,0,0,126
2022-01-19,0,0,119
2022-01-20,0,0,119
2022-01-21,0,0,131
2022-01-22,0,0,146
2022-01-23,0,0,200
2022-01-24,0,0,158
2022-01-25,0,0,156
2022-01-26,0,0,161
2022-01-27,0,0,169
2022-01-28,0,0,183
2022-01-29,0,0,178
2022-01-30,0,0,183
2022-01-31,0,0,208
2022-02-01,0,0,205
2022-02-02,0,0,258
2022-02-03,0,0,256
2022-02-04,0,0,250
2022-02-05,0,0,235
2022-02-06,0,0,233
2022-02-07,0,0,235
2022-02-08,0,0,262
2022-02-09,0,0,216
2022-02-10,0,0,212
2022-02-11,0,0,194
2022-02-12,0,0,216
2022-02-13,0,0,192
2022-02-14,0,0,176
2022-02-15,0,0,176
2022-02-16,0,0,174
2022-02-17,0,0,170
2022-02-18,0,0,159
2022-02-19,0,0,148
2022-02-20,0,0,149
2022-02-21,0,0,160
2022-02-22,6,0,172
2022-02-23,7,0,174
2022-02-24,7,0,176
2022-02-25,9,0,238
2022-02-26,10,0,249
2022-02-27,16,1,220
2022-02-28,22,2,211
2022-03-01,13,1,186
2022-03-02,13,1,174
2022-03-03,11,1,160
2022-03-04,9,1,133
2022-03-05,13,1,127
2022-03-06,9,1,127
2022-03-07,4,0,120
2022-03-08,4,0,117
2022-03-09,4,0,117
2022-03-10,4,0,119
2022-03-11,5,0,129
2022-03-12,0,0,125
2022-03-13,0,0,118
2022-03-14,0,0,114
2022-03-15,5,0,122
2022-03-16,4,0,118
2022-03-17,4,0,118
2022-03-18,10,1,145
2022-03-19,37,7,174
2022-03-20,72,22,213
2022-03-21,73,23,210
2022-03-22,62,19,188
2022-03-23,62,19,188
2022-03-24,60,19,182
2022-03-25,59,19,174
2022-03-26,52,14,181
2022-03-27,29,5,151
2022-03-28,41,9,171
2022-03-29,76,27,200
2022-03-30,71,27,173
2022-03-31,110,44,255
2022-04-01,96,39,225
2022-04-02,131,60,269
2022-04-03,182,94,331
2022-04-04,205,114,348
2022-04-05,238,134,401
2022-04-06,254,141,434
2022-04-07,188,103,324
2022-04-08,207,117,347
2022-04-09,175,98,296
2022-04-10,137,71,251
2022-04-11,118,55,238
2022-04-12,101,41,233
2022-04-13,132,60,270
2022-04-14,143,67,284
2022-04-15,159,70,332
2022-04-16,162,74,329
2022-04-17,201,104,365
2022-04-18,245,129,440
2022-04-19,302,170,513
2022-04-20,336,191,568
2022-04-21,387,223,645
2022-04-22,420,257,664
2022-04-23,565,365,848
2022-04-24,723,464,1086
2022-04-25,805,549,1144
2022-04-26,867,596,1222
2022-04-27,987,685,1374
2022-04-28,1040,726,1441
2022-04-29,1145,790,1596
2022-04-30,1126,776,1570
2022-05-01,1017,697,1429
2022-05-02,1151,761,1669
2022-05-03,1369,934,1931
2022-05-04,1381,942,1951
2022-05-05,1409,955,2000
2022-05-06,1397,937,2002
2022-05-07,1460,932,2183
2022-05-08,1722,1093,2570
2022-05-09,1849,1150,2790
2022-05-10,1650,902,2755
2022-05-11,1713,804,3153
2022-05-12,1563,679,3061
2022-05-13,1835,874,3298
2022-05-14,1801,826,3293
2022-05-15,1439,592,2908
2022-05-16,866,310,2015
2022-05-17,932,292,2390
2022-05-18,907,284,2301
2022-05-19,934,294,2338
2022-05-20,606,129,2120
2022-05-21,505,81,2190
2022-05-22,555,65,2638
2022-05-23,877,103,3503
2022-05-24,728,103,2536
2022-05-25,608,86,2280
2022-05-26,615,87,2227
2022-05-27,372,24,2280
2022-05-28,484,32,2404
2022-05-29,426,28,2116
2022-05-30,442,15,2312
2022-05-31,0,0,2152
2022-06-01,NaN,NaN,NaN
2022-06-01,NaN,NaN,NaN
2022-06-02,NaN,NaN,NaN
2022-06-02,NaN,NaN,NaN
2022-06-03,NaN,NaN,NaN
2022-06-03,NaN,NaN,NaN
