Uge,00-02,03-05,06-11,12-15,16-19,20-39,40-64,65-79,80+
2022-U11,326.0,315.0,846.0,1008.0,1041.0,10667.0,21284.0,11981.0,3336.0
2022-U12,231.0,185.0,453.0,571.0,593.0,7163.0,14835.0,8754.0,2429.0
2022-U13,125.0,89.0,258.0,284.0,359.0,4213.0,9954.0,5870.0,1599.0
2022-U14,81.0,82.0,183.0,243.0,262.0,3245.0,7638.0,4688.0,1328.0
2022-U15,66.0,57.0,123.0,153.0,163.0,2332.0,5450.0,3375.0,967.0
2022-U16,47.0,52.0,115.0,157.0,182.0,2243.0,4847.0,2528.0,861.0
2022-U17,45.0,29.0,72.0,96.0,111.0,1326.0,2956.0,1815.0,568.0
2022-U18,41.0,26.0,70.0,66.0,82.0,1020.0,2577.0,1512.0,397.0
2022-U19,31.0,12.0,51.0,54.0,73.0,894.0,2097.0,1201.0,321.0
2022-U20,17.0,14.0,38.0,81.0,42.0,702.0,1915.0,969.0,265.0
