CountryCode,Year,Week,Sex,0-14,15-64,65-74,75-84,85+,Total,0-14,15-64,65-74,75-84,85+,Total,Split,SplitSex,Forecast
DNK,2007,15,f,2,80,97,154,200,533,0.000210796364287533,0.0023290688114183,0.0209150588868927,0.0497054953396716,0.138919454836938,0.01005431596484,0,0,0
DNK,2007,15,b,4,213,202,312,311,1042,0.000205614148263371,0.0030718066598182,0.0227591214927306,0.0588536797736656,0.15155263412343,0.00992162174644981,0,0,0
DNK,2007,16,m,4,151,120,147,131,553,0.000401361235335885,0.00431529547668481,0.0283168761674684,0.0667261658395942,0.213909268712633,0.0106323471674795,0,0,0
DNK,2007,16,f,4,85,81,146,221,537,0.000421592728575065,0.00247463561213195,0.0174651522663743,0.0471233916856627,0.153505997594817,0.0101297704936569,0,0,0
DNK,2007,16,b,8,236,201,293,352,1090,0.000411228296526741,0.00340350409256852,0.0226464525744498,0.0552696415823206,0.171532241837452,0.0103786638230617,0,0,0
DNK,2007,17,m,7,147,103,132,109,498,0.000702382161837799,0.00420098301372628,0.0243053187104104,0.0599173734069825,0.177985574730359,0.00957488045100321,0,0,0
DNK,2007,17,f,3,73,82,160,205,523,0.000316194546431299,0.0021252752904192,0.0176807714301567,0.0516420730801783,0.142392441207862,0.00986567964279802,0,0,0
DNK,2007,17,b,10,220,185,292,314,1021,0.000514035370658427,0.00317275805239438,0.0208437498819563,0.0550810079933024,0.15301455663909,0.0097216658379321,0,0,0
DNK,2007,18,m,5,154,132,180,95,566,0.000501701544169856,0.00440102982390372,0.0311485637842153,0.0817055091913398,0.155125042196185,0.0108822938459193,0,0,0
DNK,2007,18,f,6,87,99,139,241,572,0.000632389092862598,0.00253286233241741,0.0213462972144575,0.0448640509884049,0.16739794307851,0.0107899976208039,0,0,0
DNK,2007,18,b,11,241,231,319,336,1138,0.000565438907724269,0.00347561223012294,0.0260265201228751,0.0601741148967927,0.163735321753931,0.0108357058996736,0,0,0
DNK,2007,19,m,6,127,105,153,106,497,0.000602041853003828,0.00362942069893359,0.0247772666465349,0.0694496828126388,0.173086889187322,0.00955565378343091,0,0,0
DNK,2007,19,f,3,81,93,152,233,562,0.000316194546431299,0.00235818217156103,0.0200525822317631,0.0490599694261694,0.161841164885033,0.0106013612987619,0,0,0
DNK,2007,19,b,9,208,198,305,339,1059,0.000462631833592584,0.00299969852226378,0.0223084458196072,0.0575332446505385,0.165197244269591,0.0100834908152499,0,0,0
