BA.2,,BA.1,,BA.1.1,,Others,
X,Y,X,Y,X,Y,X,Y
4.1884220231823015,64.90590784671534,0.06408061116965413,70.07470346715328,4.24947312961012,71.0144844890511,0.0979978925184426,67.13788777372264
4.378358798735512,64.71012013381996,0.22688356164383805,70.07470346715328,4.575079030558484,71.13195711678833,0.2608008429926265,67.0497833029197
4.575079030558484,64.49475364963504,0.199749736564808,70.07470346715328,4.737881981032668,71.16132527372264,0.42360379346681043,66.9910469890511
4.737881981032668,64.31854470802921,0.38290305584826356,70.07470346715328,4.900684931506852,71.24942974452556,0.5864067439409943,66.90294251824818
4.900684931506852,64.14233576642337,0.5457060063224475,70.19217609489051,5.0024367755532175,71.24942974452556,0.7492096944151747,66.81483804744526
5.104188619599583,63.907390510948915,0.7085089567966314,70.19217609489051,5.185590094836673,71.36690237226279,0.9120126448893586,66.72673357664235
5.246641201264492,63.73118156934307,0.8713119072708153,70.22154425182482,5.470495258166494,71.484375,1.0748155953635425,66.66799726277372
5.4094441517386755,63.554972627737236,1.0341148577449957,70.30964872262774,5.938553740779771,71.71932025547446,1.2376185458377265,66.55052463503651
5.5722471022128595,63.37876368613139,1.1969178082191796,70.30964872262774,6.12170706006323,71.83679288321169,1.4004214963119104,66.49178832116789
6.345561116965232,62.26277372262774,1.3597207586933635,70.30964872262774,6.304860379346685,71.95426551094891,1.5632244467860943,66.43305200729927
6.5083640674394125,62.02782846715329,1.5225237091675474,70.30964872262774,6.488013698630141,72.07173813868614,1.7260273972602782,66.31557937956205
6.6983008429926265,61.73414689781023,1.6853266596417313,70.30964872262774,6.650816649104325,72.18921076642337,1.8888303477344586,66.25684306569343
6.854320337197052,61.49920164233577,1.8481296101159153,70.33901687956205,6.813619599578509,72.30668339416059,2.0516332982086425,66.19810675182482
7.017123287671236,61.26425638686132,2.010932560590099,70.42712135036497,6.976422550052693,72.45352417883213,2.2144362486828264,66.13937043795622
7.17992623814542,61.02931113138687,2.1737355110642795,70.45648950729928,7.139225500526873,72.57099680656935,2.3772391991570103,66.0806341240876
7.342729188619604,60.79436587591241,2.3365384615384635,70.5445939781022,7.302028451001057,72.71783759124088,2.5400421496311942,66.02189781021899
7.505532139093788,60.55942062043796,2.4993414120126474,70.57396213503651,7.464831401475241,72.83531021897811,2.702845100105378,65.96316149635038
7.668335089567972,60.32447536496351,2.6621443624868313,70.66206660583943,7.627634351949425,72.98215100364965,2.865648050579562,65.90442518248176
7.8311380400421555,60.14826642335767,2.824947312961015,70.69143476277372,7.790437302423609,73.12899178832117,3.0284510010537424,65.78695255474453
7.993940990516336,59.91332116788322,2.987750263435199,70.77953923357666,7.953240252897793,73.2464644160584,3.1912539515279263,65.6694799270073
8.15674394099052,59.67837591240877,3.150553213909383,70.77953923357666,8.116043203371976,73.36393704379563,3.3540569020021103,65.55200729927009
8.319546891464704,59.502166970802925,3.3133561643835634,70.77953923357666,8.278846153846157,73.48140967153286,3.516859852476294,65.43453467153284
8.482349841938888,59.267221715328475,3.4761591148577473,70.77953923357666,8.44164910432034,73.59888229927009,3.679662802950478,65.31706204379563
8.645152792413072,59.03227645985402,3.6389620653319312,70.77953923357666,8.604452054794525,73.7163549270073,3.842465753424662,65.1995894160584
8.807955742887255,58.73859489051095,3.801765015806115,70.80890739051095,8.767255005268709,73.86319571167884,4.005268703898846,65.05274863138686
8.970758693361436,58.298072536496356,3.964567966280299,70.89701186131387,8.930057955742893,74.06877281021899,4.168071654373026,64.84717153284672
9.13356164383562,57.916286496350374,4.127370916754483,70.89701186131387,9.092860906217076,74.24498175182482,4.33087460484721,64.67096259124088
9.296364594309804,57.47576414233577,4.290173867228667,70.92638001824818,9.255663856691257,74.47992700729928,4.493677555321394,64.49475364963504
9.459167544783988,57.09397810218979,4.452976817702847,71.0144844890511,9.41846680716544,74.65613594890512,4.656480505795578,64.2891765510949
9.621970495258171,56.62408759124088,4.615779768177031,71.0144844890511,9.581269757639625,74.89108120437957,4.819283456269762,64.11296760948906
9.784773445732355,56.12482892335767,4.778582718651215,71.0732208029197,9.744072708113809,75.12602645985402,4.982086406743946,63.93675866788322
9.94757639620654,55.56683394160584,4.941385669125399,71.13195711678833,9.906875658587992,75.36097171532847,5.144889357218126,63.760549726277375
10.11037934668072,54.979470802919714,5.104188619599583,71.24942974452556,10.069678609062176,75.59591697080293,5.30769230769231,63.58434078467154
10.273182297154904,54.42147582116789,5.266991570073767,71.30816605839416,10.23248155953636,75.889598540146,5.470495258166494,63.408131843065696
10.435985247629088,53.86348083941606,5.429794520547947,71.36690237226279,10.39528451001054,76.12454379562044,5.633298208640678,63.23192290145986
10.598788198103271,53.276117700729934,5.592597471022131,71.484375,10.558087460484725,76.38885720802921,5.796101159114862,63.026345802919714
10.761591148577455,52.45380930656935,5.755400421496315,71.54311131386862,10.720890410958908,76.71190693430657,5.958904109589046,62.791400547445264
10.92439409905164,51.60213275547446,5.918203371970499,71.63121578467154,10.883693361433092,77.06432481751825,6.12170706006323,62.556455291970806
11.087197049525823,50.721088047445264,6.081006322444683,71.71932025547446,11.046496311907276,77.44611085766424,6.28451001053741,62.29214187956205
11.250000000000004,49.86941149635037,6.243809272918867,71.83679288321169,11.20929926238146,77.82789689781023,6.447312961011594,62.02782846715329
11.412802950474187,49.01773494525548,6.406612223393051,71.9248973540146,11.372102212855644,78.20968293795622,6.610115911485778,61.79288321167884
11.575605900948371,48.13669023722628,6.569415173867231,72.01300182481752,11.534905163329825,78.5914689781022,6.772918861959962,61.49920164233577
