Dato,Test,Data,Correct5000,Correct7500,Correct10000,Index5000,Index7500,Index10000
2020-12-10,18801,840,291.1458003583654,402.7017688576926,506.91428100655185,0.34660214328376837,0.47940686768772933,0.6034693821506569
2020-12-11,17417,721,265.6639261990657,367.45621221518456,462.54776120011326,0.3684659170583436,0.5096480058463031,0.641536423301128
2020-12-12,15231,742,304.36672706938896,420.98845053372486,529.9332513977084,0.410197745376535,0.5673698794255052,0.7141957566006851
2020-12-13,15371,789,321.28563527993344,444.39003920558935,559.3907815437983,0.4072061283649347,0.5632319888537254,0.7089870488514555
2020-12-14,18951,845,291.0227948253238,402.531632294932,506.700115934396,0.3444056743494956,0.47636879561530415,0.5996451076146698
2020-12-15,19903,878,290.76068609447395,402.1690934933544,506.2437581278237,0.3311625126360751,0.4580513593318387,0.5765874238357901
2020-12-16,22193,899,272.87445710926556,377.4295436126028,475.1020246911904,0.3035310980080818,0.419832640280982,0.5284783366976534
2020-12-17,21593,697,216.2511341091578,299.1103224434258,376.51509322430604,0.3102598767706712,0.4291396304783727,0.5401938209817877
2020-12-18,22194,594,180.29097322483517,249.37159916904125,313.9048165961734,0.30352015694416695,0.41981750701858794,0.5284592871989451
2020-12-19,17304,466,172.6015593622605,238.73589513303526,300.5167694572106,0.3703896123653659,0.5123087878391315,0.6448857713674048
2020-12-20,17935,407,146.49044823969436,202.62000191749007,255.0546844651353,0.35992739125232026,0.49783784254911567,0.6266699864008238
2020-12-21,23531,506,146.55958050043665,202.71562302434367,255.17505072219754,0.2896434397241831,0.40062376091767526,0.5042985192138292
2020-12-22,22285,465,140.67562250182445,194.57715669232394,244.93048482199237,0.30252822043403105,0.4184454982630622,0.5267322254236395
2020-12-23,17154,526,196.1866371748115,271.3578753988334,341.580775007409,0.3729783976707443,0.515889496955957,0.6493931083791045
2020-12-24,6021,208,179.26868660036664,247.9576112927047,312.124912202611,0.8618686855786857,1.1921039004456957,1.5006005394356299
2020-12-25,5650,276,250.29163038327172,346.1938388311128,435.783039636925,0.9068537332727237,1.2543255030112783,1.5789240566555256
2020-12-26,7847,441,307.50463825160085,425.32868962369173,535.396672092204,0.697289429141952,0.9644641488065572,1.2140514106399183
2020-12-27,9500,327,195.67929360048166,270.65613711323994,340.6974385385739,0.5984076256895463,0.8276946089089906,1.0418881912494615
2020-12-28,15297,435,177.81985307629793,245.95364001025914,309.60234652161034,0.40878127143976534,0.5654106666902509,0.711729532233587
2020-12-29,15507,290,117.2605081456836,162.19026339825368,204.16240283722925,0.4043465798127021,0.5592767703388057,0.7040082856456181
2020-12-30,14904,346,144.41417671921536,199.74818232436323,251.43968578171788,0.4173820136393508,0.5773068853305295,0.7267042941668147
2020-12-31,4448,184,202.05146496341246,279.4698815538536,351.79203327741163,1.098105787844633,1.5188580519231176,1.9119132243337589
2021-01-01,3881,184,225.34032289235793,311.68214177233557,392.3402900545454,1.2246756678932496,1.693924683545302,2.132284185079051
2021-01-02,8267,263,175.89496253625472,243.29120481669392,306.2509174337745,0.6688021389211206,0.9250616152726004,1.1644521575428686
2021-01-03,8290,277,184.84689000517687,255.67316952984945,321.83712843508687,0.6673172924374617,0.9230078322377236,1.1618668896573534
2021-01-04,13086,362,167.66369818535904,231.90603384750625,291.9194537991513,0.46315938725237304,0.6406244028936637,0.8064073309368821
2021-01-05,11975,269,133.7543347921055,185.00389546016433,232.87982299313165,0.4972280103795744,0.6877468232719863,0.8657242490450991
2021-01-06,11713,239,120.95933479166877,167.30633936844717,210.60243407762346,0.5061060033124216,0.7000265245541724,0.8811817325423575
2021-01-07,9816,214,124.75045464105273,172.5500717781857,217.20315711843207,0.5829460497245454,0.806308746627036,1.0149680239179069
