"København";"0 år";9481
"København";"1 år";8681
"København";"2 år";7633
"København";"3 år";7273
"København";"4 år";6847
"København";"5 år";6137
"København";"6 år";5808
"København";"7 år";5628
"København";"8 år";5712
"København";"9 år";5688
"København";"10 år";5840
"København";"11 år";5609
"København";"12 år";5503
"København";"13 år";5296
"København";"14 år";5199
"København";"15 år";4808
"København";"16 år";4912
"København";"17 år";4872
"København";"18 år";5102
"København";"19 år";5796
"København";"20 år";8201
"København";"21 år";11410
"København";"22 år";14018
"København";"23 år";15830
"København";"24 år";16798
"København";"25 år";17938
"København";"26 år";18580
"København";"27 år";17935
"København";"28 år";17852
"København";"29 år";17137
"København";"30 år";16473
"København";"31 år";15431
"København";"32 år";14278
"København";"33 år";12721
"København";"34 år";11936
"København";"35 år";11115
"København";"36 år";10220
"København";"37 år";9492
"København";"38 år";9134
"København";"39 år";8817
"København";"40 år";8852
"København";"41 år";8670
"København";"42 år";8518
"København";"43 år";7977
"København";"44 år";8154
"København";"45 år";8499
"København";"46 år";8446
"København";"47 år";7852
"København";"48 år";8053
"København";"49 år";7484
"København";"50 år";7046
"København";"51 år";6732
"København";"52 år";6951
"København";"53 år";7179
"København";"54 år";7396
"København";"55 år";7079
"København";"56 år";6741
"København";"57 år";6457
"København";"58 år";5859
"København";"59 år";5622
"København";"60 år";5411
"København";"61 år";5041
"København";"62 år";4925
"København";"63 år";4668
"København";"64 år";4655
"København";"65 år";4439
"København";"66 år";4185
"København";"67 år";4234
"København";"68 år";3939
"København";"69 år";3882
"København";"70 år";3905
"København";"71 år";3559
"København";"72 år";3745
"København";"73 år";3864
"København";"74 år";3671
"København";"75 år";3426
"København";"76 år";3081
"København";"77 år";2817
"København";"78 år";2464
"København";"79 år";1952
"København";"80 år";1879
"København";"81 år";1661
"København";"82 år";1526
"København";"83 år";1227
"København";"84 år";1067
"København";"85 år";965
"København";"86 år";813
"København";"87 år";743
"København";"88 år";680
"København";"89 år";582
"København";"90 år";451
"København";"91 år";407
"København";"92 år";347
"København";"93 år";291
"København";"94 år";230
"København";"95 år";193
"København";"96 år";144
"København";"97 år";107
"København";"98 år";69
"København";"99 år";68
"København";"100 år";45
"København";"101 år";20
"København";"102 år";15
"København";"103 år";7
"København";"104 år";4
"København";"105 år";5
"København";"106 år";0
"København";"107 år";0
"København";"108 år";0
"København";"109 år";0
"København";"110 år";0
"København";"111 år";0
"København";"112 år";0
"København";"113 år";0
"København";"114 år";0
"København";"115 år";0
"København";"116 år";0
"København";"117 år";0
"København";"118 år";0
"København";"119 år";0
"København";"120 år";0
"København";"121 år";0
"København";"122 år";0
"København";"123 år";0
"København";"124 år";0
"København";"125 år";0
"Frederiksberg";"0 år";1456
"Frederiksberg";"1 år";1309
"Frederiksberg";"2 år";1185
"Frederiksberg";"3 år";1030
"Frederiksberg";"4 år";1100
