"Ærø";"79 år";64
"Ærø";"80 år";87
"Ærø";"81 år";69
"Ærø";"82 år";54
"Ærø";"83 år";55
"Ærø";"84 år";52
"Ærø";"85 år";42
"Ærø";"86 år";39
"Ærø";"87 år";35
"Ærø";"88 år";32
"Ærø";"89 år";29
"Ærø";"90 år";15
"Ærø";"91 år";11
"Ærø";"92 år";21
"Ærø";"93 år";12
"Ærø";"94 år";10
"Ærø";"95 år";10
"Ærø";"96 år";3
"Ærø";"97 år";4
"Ærø";"98 år";4
"Ærø";"99 år";2
"Ærø";"100 år";3
"Ærø";"101 år";1
"Ærø";"102 år";0
"Ærø";"103 år";1
"Ærø";"104 år";0
"Ærø";"105 år";0
"Ærø";"106 år";0
"Ærø";"107 år";0
"Ærø";"108 år";0
"Ærø";"109 år";0
"Ærø";"110 år";0
"Ærø";"111 år";0
"Ærø";"112 år";0
"Ærø";"113 år";0
"Ærø";"114 år";0
"Ærø";"115 år";0
"Ærø";"116 år";0
"Ærø";"117 år";0
"Ærø";"118 år";0
"Ærø";"119 år";0
"Ærø";"120 år";0
"Ærø";"121 år";0
"Ærø";"122 år";0
"Ærø";"123 år";0
"Ærø";"124 år";0
"Ærø";"125 år";0
"Billund";"0 år";225
"Billund";"1 år";275
"Billund";"2 år";271
"Billund";"3 år";278
"Billund";"4 år";292
"Billund";"5 år";283
"Billund";"6 år";263
"Billund";"7 år";318
"Billund";"8 år";289
"Billund";"9 år";311
"Billund";"10 år";340
"Billund";"11 år";331
"Billund";"12 år";367
"Billund";"13 år";332
"Billund";"14 år";359
"Billund";"15 år";366
"Billund";"16 år";302
"Billund";"17 år";365
"Billund";"18 år";326
"Billund";"19 år";311
"Billund";"20 år";344
"Billund";"21 år";268
"Billund";"22 år";196
"Billund";"23 år";195
"Billund";"24 år";204
"Billund";"25 år";237
"Billund";"26 år";260
"Billund";"27 år";255
"Billund";"28 år";265
"Billund";"29 år";263
"Billund";"30 år";292
"Billund";"31 år";264
"Billund";"32 år";305
"Billund";"33 år";309
"Billund";"34 år";312
"Billund";"35 år";305
"Billund";"36 år";294
"Billund";"37 år";277
"Billund";"38 år";342
"Billund";"39 år";315
"Billund";"40 år";329
"Billund";"41 år";370
"Billund";"42 år";350
"Billund";"43 år";371
"Billund";"44 år";366
"Billund";"45 år";359
"Billund";"46 år";314
"Billund";"47 år";351
"Billund";"48 år";369
"Billund";"49 år";354
"Billund";"50 år";366
"Billund";"51 år";367
"Billund";"52 år";378
"Billund";"53 år";376
"Billund";"54 år";396
"Billund";"55 år";447
"Billund";"56 år";388
"Billund";"57 år";385
"Billund";"58 år";392
"Billund";"59 år";355
"Billund";"60 år";374
"Billund";"61 år";350
"Billund";"62 år";347
"Billund";"63 år";333
"Billund";"64 år";340
"Billund";"65 år";322
"Billund";"66 år";315
"Billund";"67 år";326
"Billund";"68 år";271
"Billund";"69 år";278
"Billund";"70 år";312
"Billund";"71 år";284
"Billund";"72 år";321
"Billund";"73 år";306
"Billund";"74 år";306
"Billund";"75 år";290
"Billund";"76 år";271
"Billund";"77 år";247
"Billund";"78 år";235
"Billund";"79 år";191
"Billund";"80 år";165
"Billund";"81 år";156
"Billund";"82 år";159
"Billund";"83 år";166
"Billund";"84 år";121
"Billund";"85 år";106
"Billund";"86 år";106
"Billund";"87 år";88
"Billund";"88 år";64
"Billund";"89 år";67
"Billund";"90 år";63
"Billund";"91 år";44
"Billund";"92 år";32
"Billund";"93 år";22
"Billund";"94 år";26
"Billund";"95 år";26
"Billund";"96 år";12
"Billund";"97 år";5
"Billund";"98 år";7
"Billund";"99 år";3
"Billund";"100 år";1
"Billund";"101 år";2
"Billund";"102 år";2
"Billund";"103 år";0
"Billund";"104 år";0
"Billund";"105 år";0
"Billund";"106 år";0
"Billund";"107 år";0
"Billund";"108 år";0
"Billund";"109 år";0
"Billund";"110 år";0
"Billund";"111 år";0
"Billund";"112 år";0
"Billund";"113 år";0
"Billund";"114 år";0
"Billund";"115 år";0
"Billund";"116 år";0
"Billund";"117 år";0
"Billund";"118 år";0
"Billund";"119 år";0
"Billund";"120 år";0
"Billund";"121 år";0
"Billund";"122 år";0
"Billund";"123 år";0
"Billund";"124 år";0
"Billund";"125 år";0
"Esbjerg";"0 år";1224
"Esbjerg";"1 år";1218
"Esbjerg";"2 år";1193
"Esbjerg";"3 år";1210
"Esbjerg";"4 år";1247
"Esbjerg";"5 år";1232
"Esbjerg";"6 år";1157
"Esbjerg";"7 år";1262
"Esbjerg";"8 år";1213
"Esbjerg";"9 år";1230
"Esbjerg";"10 år";1321
