,Start,End,RT,Count,CountCumul,HospCumul
380,2021-06-15,2021-06-15,1.1,5580.0,0.0,0.0
381,2021-06-15,2021-06-15,1.2,5580.0,0.0,0.0
382,2021-06-15,2021-06-15,1.2999999999999998,5580.0,0.0,0.0
383,2021-06-15,2021-06-15,1.4,5580.0,0.0,0.0
384,2021-06-15,2021-06-15,1.5,5580.0,0.0,0.0
385,2021-06-15,2021-06-15,1.5999999999999999,5580.0,0.0,0.0
386,2021-06-15,2021-06-15,1.6999999999999997,5580.0,0.0,0.0
387,2021-06-15,2021-06-22,0.9,3225.5145820512344,3225.5145820512353,84.24805311224442
388,2021-06-15,2021-06-22,1.0,3773.5357051757574,3773.5357051757574,98.56195916138881
389,2021-06-15,2021-06-22,1.1,4349.077468515651,4349.077468515651,113.59468396009007
390,2021-06-15,2021-06-22,1.2,4950.829602208769,4950.829602208769,129.31200422951028
391,2021-06-15,2021-06-22,1.2999999999999998,5577.650901095854,5577.650901095854,145.68411253569627
392,2021-06-15,2021-06-22,1.4,6228.5357796671615,6228.535779667162,162.68474372954444
393,2021-06-15,2021-06-22,1.5,6902.589412290052,6902.589412290052,180.29052562794809
394,2021-06-15,2021-06-22,1.5999999999999999,7599.008817538592,7599.008817538592,198.48048495048965
395,2021-06-15,2021-06-22,1.6999999999999997,8317.06817551787,8317.06817551787,217.23566381882108
396,2021-06-15,2021-06-29,0.9,2237.335246429239,5462.849828480475,137.60772560638168
397,2021-06-15,2021-06-29,1.0,3062.174760106001,6835.71046528176,171.59376902531005
398,2021-06-15,2021-06-29,1.1,4067.4978547412675,8416.575323256919,210.6031022317791
399,2021-06-15,2021-06-29,1.2,5270.95129565147,10221.78089786024,255.02237120173436
400,2021-06-15,2021-06-29,1.2999999999999998,6690.1476520623955,12267.798553158249,305.24182219106126
401,2021-06-15,2021-06-29,1.4,8342.668219129975,14571.203998797138,361.6544978647356
402,2021-06-15,2021-06-29,1.5,10246.065483041994,17148.65489533204,424.6556467697951
403,2021-06-15,2021-06-29,1.5999999999999999,12417.86522849946,20016.874046038058,494.6422795347342
404,2021-06-15,2021-06-29,1.6999999999999997,14875.5683610414,23192.63653655927,572.0128288307002
405,2021-06-15,2021-07-06,0.9,1498.6950861934663,6961.544914673941,173.15502118018532
406,2021-06-15,2021-07-06,1.0,2398.2354627275904,9233.945928009349,228.4817094048977
407,2021-06-15,2021-07-06,1.1,3669.0557022689086,12085.631025525832,297.6432480420087
