bo_kom_today,sognekode,sogn,Inviterede_i_sognet,Antal_inviteret_ikke_booket,Andel_inviteret_ikke_booket,Andel_booket,Andel_påbegyndt,Andel_færdigvaccineret
Frederikshavn,8480,"Skagen,Frederikshavn",6950,905,13%,0%,1%,86%
Frederikshavn,8481,"Råbjerg,Frederikshav",1606,120,7%,0%,1%,92%
Frederikshavn,9226,"Østervrå,Frederiksha",1499,167,11%,0%,1%,88%
Frederikshavn,9228,"Hulsig,Frederikshavn",124,11,9%,0%,0%,91%
Frederikshavn,9230,"Jerup,Frederikshavn",796,85,11%,0%,1%,88%
Frederikshavn,9231,"Kvissel,Frederikshav",448,47,10%,0%,2%,88%
Frederikssund,,,121,56,46%,0%,1%,53%
Frederikssund,7418,"Frederikssund,Frsund",6696,749,11%,0%,2%,87%
Frederikssund,7419,"Oppesundby,Frsund",4922,438,9%,0%,1%,90%
Frederikssund,7420,"Snostrup,Frsund",923,91,10%,0%,2%,88%
Frederikssund,7421,"Slangerup,Frsund",6280,708,11%,0%,1%,87%
Frederikssund,7422,"Uvelse,Hillerød",26,<10,,,,
Frederikssund,7423,"Græse,Frederikssund",2291,224,10%,0%,1%,89%
Frederikssund,7424,"Sigerslevv,Frsund",295,33,11%,0%,1%,88%
Frederikssund,7427,"Jørlunde,Egedal",733,85,12%,0%,1%,87%
Frederikssund,7453,"Gerlev,Frederikssund",1818,240,13%,0%,1%,85%
Frederikssund,7454,"Dråby,Frederikssund",4295,421,10%,0%,1%,89%
Frederikssund,7455,"Skibby,Frederikssund",3018,311,10%,0%,1%,89%
Frederikssund,7456,"Ferslev,Frederikssun",992,134,14%,0%,1%,86%
Frederikssund,7457,"Vellerup,Frsund",455,51,11%,0%,0%,89%
Frederikssund,7458,"Skuldelev,Frsund",1149,160,14%,0%,1%,85%
Frederikssund,7459,"Selsø,Frederikssund",654,61,9%,0%,1%,90%
Frederikssund,7460,"Kyndby,Frederikssund",670,80,12%,0%,1%,87%
Frederikssund,7461,"Krogstrup,Frsund",950,116,12%,0%,1%,87%
Frederikssund,9113,"Islebjerg,Frsund",3153,382,12%,0%,2%,86%
Frederikssund,9242,"Skoven,Frederikssund",1054,124,12%,0%,1%,87%
Furesø,,,130,59,45%,0%,3%,52%
Furesø,7154,"Værløse,Furesø",13985,1091,8%,0%,1%,91%
Furesø,7414,"Farum,Furesø",17699,2385,13%,0%,2%,85%
Furesø,9239,"Hareskov,Furesø",3066,171,6%,0%,1%,93%
Gentofte,,,402,171,43%,0%,3%,55%
Gentofte,7110,"Helleruplund,Gentoft",5637,519,9%,0%,1%,89%
Gentofte,7111,"Gentofte,Gentofte",4848,446,9%,0%,1%,89%
Gentofte,7112,"Jægersborg,Gentofte",6583,626,10%,0%,1%,89%
Gentofte,7113,"Vangede,Gentofte",9187,1347,15%,0%,1%,84%
Gentofte,7114,"Dyssegård,Gentofte",8090,796,10%,0%,1%,89%
Gentofte,7115,"Ordrup,Gentofte",10923,1175,11%,0%,1%,88%
Gentofte,7116,"Skovshoved,Gentofte",6486,719,11%,0%,2%,87%
Gentofte,7117,"Hellerup,Gentofte",6480,681,11%,0%,2%,88%
Gentofte,7118,"Maglegaards,Gentofte",5370,486,9%,0%,1%,89%
Gladsaxe,,,239,75,31%,0%,5%,63%
Gladsaxe,7130,"Gladsaxe,Gladsaxe",9319,1305,14%,0%,2%,84%
Gladsaxe,7131,"Søborggård,Gladsaxe",7774,846,11%,0%,1%,88%
Gladsaxe,7132,"Bagsværd,Gladsaxe",9397,1398,15%,0%,2%,83%
Gladsaxe,7133,"Stengård,Gladsaxe",10245,827,8%,0%,1%,91%
Gladsaxe,7134,"Mørkhøj,Gladsaxe",8346,1457,17%,0%,2%,81%
Gladsaxe,9068,"Søborgmagle,Gladsaxe",3493,260,7%,0%,2%,91%
Gladsaxe,9071,"Haralds,Gladsaxe",3496,884,25%,0%,3%,72%
Gladsaxe,9072,"Buddinge,Gladsaxe",6510,906,14%,0%,2%,84%
Glostrup,,,91,46,51%,0%,2%,47%
Glostrup,7147,"Glostrup,Glostrup",20194,3262,16%,0%,2%,82%
Greve,,,165,79,48%,0%,2%,50%
Greve,7194,"Greve,Greve",9366,1173,13%,0%,1%,86%
Greve,7195,Hundige-Kildebrønde,15853,3044,19%,0%,1%,79%
Greve,7199,"Tune,Greve",4773,499,10%,0%,1%,89%
Greve,7200,"Karlslunde,Greve",2425,273,11%,0%,1%,88%
Greve,9105,"Karlslunde Str,Greve",6670,587,9%,0%,2%,89%
Greve,9108,"Mosede,Greve",4299,434,10%,0%,1%,89%
Gribskov,,,148,62,42%,0%,4%,54%
Gribskov,7392,"Blistrup,Gribskov",4109,598,15%,0%,1%,84%
Gribskov,7393,"Vejby,Gribskov",2588,362,14%,0%,1%,85%
Gribskov,7394,"Tibirke,Gribskov",1730,210,12%,0%,1%,87%
Gribskov,7395,"Ramløse,Gribskov",2662,303,11%,0%,2%,87%
Gribskov,7396,"Annisse,Gribskov",2021,203,10%,0%,1%,88%
Gribskov,7428,"Esbønderup,Gribskov",1820,305,17%,0%,1%,82%
Gribskov,7430,"Søborg,Gribskov",1356,194,14%,0%,1%,85%
Gribskov,7431,"Gilleleje,Gribskov",6202,640,10%,0%,1%,89%
Gribskov,7432,"Græsted,Gribskov",4352,589,14%,0%,1%,85%
Gribskov,7433,"Mårum,Gribskov",939,129,14%,0%,1%,85%
Gribskov,7434,"Helsinge,Gribskov",7390,948,13%,0%,1%,86%
Gribskov,7435,"Valby,Gribskov",504,78,15%,0%,1%,83%
Gribskov,9243,"Villingerød,Gribskov",1032,131,13%,0%,0%,87%
Guldborgsund,,,170,64,38%,1%,7%,55%
Guldborgsund,7575,"Ønslev,Guldborgsund",615,81,13%,0%,0%,86%
Guldborgsund,7576,"Eskilstrup,Guldborgs",1149,129,11%,0%,1%,88%
Guldborgsund,7577,"Tingsted,Guldborgsun",2556,302,12%,0%,1%,87%
Guldborgsund,7578,"Nykøbing,Guldborgsun",15095,2285,15%,0%,1%,83%
Guldborgsund,7579,"Idestrup,Guldborgsun",1690,215,13%,0%,1%,86%
Guldborgsund,7580,"Væggerløse,Guldborgs",3077,248,8%,0%,1%,91%
Guldborgsund,7581,"Skelby,Guldborgsund",240,39,16%,0%,1%,83%
Guldborgsund,7582,"Gedesby,Guldborgsund",267,42,16%,0%,0%,84%
Guldborgsund,7583,"S.Kirkeby,Guldborgs",218,28,13%,0%,0%,87%
Guldborgsund,7584,"S.Alslev,Guldborgsun",88,<10,,,,
Guldborgsund,7585,"Karleby,Guldborgsund",222,32,14%,0%,1%,84%
Guldborgsund,7586,"Horreby,Guldborgsund",442,55,12%,0%,1%,87%
Guldborgsund,7587,"N.Ørslev,Guldborgsun",375,61,16%,0%,1%,82%
Guldborgsund,7588,"Systofte,Guldborgsun",623,93,15%,0%,1%,84%
Guldborgsund,7589,"Horbelev,Guldborgsun",1006,145,14%,0%,2%,84%
Guldborgsund,7590,"Falkerslev,Guldborgs",216,47,22%,1%,1%,76%
Guldborgsund,7591,"Aastrup,Guldborgsund",737,92,12%,0%,1%,87%
Guldborgsund,7592,"Tårs,Guldborgsund",397,70,18%,0%,2%,80%
Guldborgsund,7593,"Vigsnæs,Guldborgsund",129,12,9%,0%,2%,89%
Guldborgsund,7594,"Majbølle,Guldborgsun",884,119,13%,0%,1%,85%
Guldborgsund,7595,"Radsted,Guldborgsund",681,110,16%,0%,1%,83%
Guldborgsund,7596,"Toreby,Guldborgsund",4652,545,12%,0%,1%,87%
Guldborgsund,7597,"Slemminge,Guldborgsu",396,52,13%,0%,1%,86%
Guldborgsund,7598,"Fjelde,Guldborgsund",162,23,14%,0%,0%,86%
Guldborgsund,7599,"Døllefjelde,Guldborg",150,23,15%,0%,0%,85%
Guldborgsund,7600,"Musse,Guldborgsund",178,32,18%,0%,3%,79%
Guldborgsund,7601,"Herritslev,Guldborgs",371,53,14%,0%,1%,85%
Guldborgsund,7602,"Ø Ulslev,Guldborgsun",337,49,15%,0%,1%,85%
Guldborgsund,7603,"V Ulslev,Guldborgsun",283,49,17%,0%,2%,81%
Guldborgsund,7604,"Godsted,Guldborgsund",98,13,13%,0%,1%,86%
Guldborgsund,7605,"Kettinge,Guldborgsun",1025,134,13%,0%,1%,86%
Guldborgsund,7606,"Bregninge,Guldborgsu",119,22,18%,0%,1%,81%
Guldborgsund,7607,"Stubbekøbing,Guldbor",1948,253,13%,0%,1%,86%
Guldborgsund,7608,"Maglebrænde,Guldborg",260,48,18%,0%,0%,81%
Guldborgsund,7609,"Torkilstrup,Guldborg",359,63,18%,0%,1%,82%
Guldborgsund,7610,"Lillebrænde,Guldborg",241,59,24%,0%,2%,73%
Guldborgsund,7611,"Gundslev,Guldborgsun",480,71,15%,0%,0%,85%
Guldborgsund,7613,"N Alslev,Guldborgsun",2214,279,13%,0%,1%,86%
Guldborgsund,7614,"N Kirkeby,Guldborgsu",183,17,9%,1%,3%,87%
Guldborgsund,7642,"Sakskøbing,Guldborgs",4189,515,12%,0%,1%,87%
Guldborgsund,7644,"Våbensted,Guldborgsu",560,79,14%,0%,1%,85%
Guldborgsund,7645,"Engestofte,Guldborgs",84,13,15%,0%,0%,85%
Guldborgsund,9249,"Gedser,Guldborgsund",678,87,13%,0%,2%,85%
Guldborgsund,9318,"Nordvestfalster, Gul",2555,416,16%,0%,1%,83%
Guldborgsund,9319,Nysted-Vantore,1475,152,10%,0%,1%,88%
Haderslev,,,104,37,36%,0%,3%,62%
Haderslev,8946,"Gram,Haderslev",2995,453,15%,0%,2%,83%
Haderslev,8952,"Fole,Haderslev",346,50,14%,0%,1%,85%
Haderslev,8954,"Nustrup,Haderslev",1010,147,15%,0%,1%,84%
Haderslev,8955,"Skrydstrup,Haderslev",1023,173,17%,0%,1%,82%
Haderslev,8957,"Bevtoft,Haderslev",1147,202,18%,0%,1%,81%
Haderslev,8961,"Domkirkens,Haderslev",12175,1823,15%,0%,1%,84%
Haderslev,8962,"Gl Haderslev,Hadersl",6440,774,12%,0%,1%,87%
Haderslev,8963,"Åstrup,Haderslev",1211,91,8%,0%,1%,91%
Haderslev,8964,"Halk,Haderslev",429,59,14%,0%,0%,86%
Haderslev,8965,"Hoptrup,Haderslev",1798,282,16%,0%,1%,83%
Haderslev,8966,"Moltrup,Haderslev",463,78,17%,0%,2%,81%
Haderslev,8967,"Bjerning,Haderslev",295,45,15%,0%,1%,84%
Haderslev,8968,"Øsby,Haderslev",1399,133,10%,0%,1%,89%
Haderslev,8969,"S Starup,Haderslev",2504,283,11%,0%,1%,88%
Haderslev,8970,"Grarup,Haderslev",284,40,14%,0%,1%,85%
Haderslev,8971,"Vilstrup,Haderslev",1120,153,14%,0%,2%,85%
Haderslev,8972,"Vonsbæk,Haderslev",396,83,21%,0%,1%,78%
Haderslev,8973,"Hammelev,Haderslev",1311,154,12%,0%,1%,87%
Haderslev,8974,"Maugstrup,Haderslev",430,73,17%,0%,1%,82%
Haderslev,8975,"Vojens,Haderslev",3624,490,14%,0%,1%,85%
Haderslev,8976,"Jegerup,Haderslev",2771,317,11%,0%,1%,88%
Haderslev,8978,"Oksenvad,Haderslev",517,91,18%,0%,1%,81%
Haderslev,8979,"Sommersted,Haderslev",1229,178,14%,0%,1%,84%
Haderslev,8980,"Vedsted,Haderslev",1872,323,17%,0%,1%,81%
Haderslev,8981,"Aller,Kolding",69,18,26%,0%,1%,72%
Haderslev,8982,"Fjelstrup,Haderslev",982,146,15%,0%,1%,84%
Haderslev,8986,"Hjerndrup,Haderslev",199,33,17%,0%,1%,82%
Haderslev,9037,"Højrup,Haderslev",677,124,18%,0%,2%,80%
Halsnæs,,,122,52,43%,0%,1%,57%
Halsnæs,7399,"Kregme,Halsnæs",3930,597,15%,0%,1%,84%
Halsnæs,7400,"Ølsted,Halsnæs",2907,267,9%,0%,1%,90%
Halsnæs,7407,"Melby,Halsnæs",4360,435,10%,0%,1%,89%
Halsnæs,7408,"Torup,Halsnæs",8602,957,11%,0%,1%,88%
Halsnæs,9186,"Fr.Værk-V,Halsnæs",8175,1356,17%,0%,1%,82%
Hedensted,,,92,34,37%,0%,5%,58%
Hedensted,7897,"Ø Snede,Hedensted",1860,239,13%,0%,1%,86%
Hedensted,7899,"Sindbjerg,Hedensted",1663,183,11%,0%,1%,88%
Hedensted,7900,"Uldum,Hedensted",1407,175,12%,0%,1%,86%
Hedensted,7901,"Langskov,Hedensted",842,81,10%,0%,1%,89%
Hedensted,7948,"Nebsager,Hedensted",1632,179,11%,0%,2%,88%
Hedensted,7949,"Bjerre,Hedensted",599,100,17%,0%,2%,81%
Hedensted,7950,"Urlev,Hedensted",195,26,13%,0%,1%,86%
Hedensted,7951,"Stenderup,Hedensted",740,143,19%,0%,1%,80%
Hedensted,7952,"Ørum,Hedensted",214,24,11%,0%,0%,88%
Hedensted,7953,"Daugård,Hedensted",1217,145,12%,0%,1%,87%
Hedensted,7954,"Stouby,Hedensted",1452,202,14%,0%,1%,85%
Hedensted,7955,"Hornum,Hedensted",133,30,23%,0%,0%,77%
Hedensted,7956,"Barrit,Hedensted",1231,170,14%,0%,1%,85%
Hedensted,7957,"Vrigsted,Hedensted",274,36,13%,0%,1%,85%
Hedensted,7958,"As,Hedensted",679,54,8%,0%,1%,91%
Hedensted,7959,"Klakring,Hedensted",1083,108,10%,0%,1%,89%
Hedensted,7960,"Rårup,Hedensted",1060,119,11%,0%,1%,87%
Hedensted,7961,"Skjold,Hedensted",483,67,14%,0%,0%,86%
Hedensted,7962,"Glud,Hedensted",1580,176,11%,0%,1%,88%
Hedensted,7963,"Hjarnø,Hedensted",91,17,19%,0%,4%,77%
Hedensted,7964,"Hatting,Horsens",182,23,13%,0%,1%,87%
Hedensted,7965,"Ølsted,Hedensted",987,143,14%,0%,0%,85%
Hedensted,7969,"Løsning,Hedensted",3708,450,12%,0%,1%,87%
Hedensted,7970,"Korning,Hedensted",583,70,12%,0%,1%,87%
Hedensted,7971,"Hedensted,Hedensted",7278,577,8%,0%,1%,91%
Hedensted,7972,"St Dalby,Hedensted",106,18,17%,0%,2%,81%
Hedensted,8001,"Åle,Hedensted",699,99,14%,0%,1%,85%
Hedensted,8002,"Linnerup,Hedensted",267,35,13%,0%,1%,86%
Hedensted,8003,"Tørring,Hedensted",2839,382,13%,0%,1%,85%
Hedensted,8004,"Hammer,Hedensted",144,28,19%,0%,1%,79%
Hedensted,8057,"Hvirring,Hedensted",1714,191,11%,0%,1%,88%
Hedensted,8058,"Hornborg,Hedensted",692,85,12%,0%,1%,87%
Hedensted,9112,"Juelsminde,Hedensted",2868,230,8%,0%,1%,91%
Hedensted,9262,"Klejs,Hedensted",329,47,14%,0%,1%,85%
Helsingør,,,196,79,40%,0%,5%,55%
Helsingør,7437,"Skt Olai,Helsingør",8614,1308,15%,0%,2%,83%
Helsingør,7438,"Skt Mariæ,Helsingør",4474,480,11%,0%,1%,88%
Helsingør,7439,"Vestervang,Helsingør",9598,1668,17%,0%,2%,81%
Helsingør,7440,"Tikøb,Helsingør",2481,353,14%,0%,1%,85%
Helsingør,7441,"Hornbæk,Helsingør",4865,532,11%,0%,1%,88%
Helsingør,7442,"Hellebæk,Helsingør",5485,529,10%,0%,1%,89%
Helsingør,7443,"Egebæksvang,Helsingø",4121,281,7%,0%,1%,92%
Helsingør,9098,"Sthens,Helsingør",7422,1344,18%,0%,2%,80%
Helsingør,9103,"Mørdrup,Helsingør",7554,730,10%,0%,1%,89%
Helsingør,9240,"Gurre,Helsingør",823,113,14%,0%,2%,85%
Herlev,,,83,32,39%,0%,1%,60%
Herlev,7135,"Herlev,Herlev",4642,864,19%,0%,2%,79%
Herlev,7136,"Præstebro,Herlev",5693,905,16%,0%,2%,82%
Herlev,9074,"Lindehøj,Herlev",14209,1924,14%,0%,2%,85%
Herning,,,213,97,46%,0%,4%,50%
Herning,8747,"Vinding,Herning",1427,149,10%,0%,2%,88%
Herning,8748,"Vind,Herning",433,55,13%,0%,1%,86%
Herning,8789,"Herning,Herning",7809,866,11%,0%,2%,87%
Herning,8790,"Skt Johannes,Herning",6140,895,15%,0%,2%,84%
Herning,8791,"Fredens,Herning",5687,954,17%,0%,2%,81%
Herning,8792,"Aulum,Herning",3537,348,10%,0%,1%,89%
Herning,8793,"Hodsager,Herning",613,100,16%,0%,2%,81%
Herning,8794,"Vildbjerg,Herning",3867,371,10%,0%,1%,89%
Herning,8795,"Nøvling,Herning",834,94,11%,0%,1%,88%
Herning,8796,"Timring,Herning",1009,140,14%,0%,2%,84%
Herning,8799,"Gjellerup,Herning",7589,763,10%,0%,1%,88%
Herning,8800,"Sunds,Herning",4104,341,8%,0%,1%,91%
Herning,8801,"Ilskov,Herning",808,88,11%,0%,0%,89%
Herning,8803,"Rind,Herning",5185,378,7%,0%,1%,91%
Herning,8804,"Snejbjerg,Herning",4149,330,8%,0%,1%,91%
Herning,8805,"Tjørring,Herning",5313,413,8%,0%,1%,91%
Herning,8806,"Studsgård,Herning",652,68,10%,0%,2%,88%
Herning,8807,"Haunstrup,Herning",308,21,7%,0%,1%,93%
Herning,8808,"S Felding,Herning",1621,198,12%,0%,1%,87%
Herning,8809,"Assing,Herning",2949,344,12%,0%,1%,87%
Herning,8810,"Skarrild,Herning",502,75,15%,0%,2%,83%
Herning,8811,"Arnborg,Herning",755,97,13%,0%,1%,86%
Herning,8837,"Haderup,Herning",826,95,12%,0%,1%,87%
Herning,8838,"Grove,Herning",156,31,20%,0%,1%,79%
Herning,8839,"Simmelkær,Herning",420,67,16%,0%,1%,83%
Herning,9091,"Hedeager,Herning",3784,461,12%,0%,2%,86%
Herning,9119,"Kølkær,Herning",808,134,17%,0%,1%,82%
Herning,9120,"Kollund,Herning",296,39,13%,0%,2%,84%
Herning,9125,"Ilderhede,Herning",397,47,12%,0%,2%,87%
Herning,9141,"Gullestrup,Herning",1705,282,17%,0%,2%,81%
Herning,9167,"Ørnhøj,Herning",1023,142,14%,0%,2%,84%
Herning,9170,"Ørre-Sinding,Herning",758,87,11%,0%,2%,86%
Herning,9201,"Feldborg,Herning",681,109,16%,0%,3%,81%
Herning,9205,"Tiphede,Herning",140,16,11%,1%,1%,86%
Herning,9209,"Fasterholt,Herning",377,51,14%,0%,1%,86%
Herning,9210,"Karstoft,Herning",346,75,22%,0%,0%,78%
Hillerød,,,229,73,32%,0%,3%,65%
Hillerød,7401,"Tjæreby,Hillerød",545,68,12%,0%,1%,86%
Hillerød,7402,"Alsønderup,Hillerød",2247,294,13%,0%,1%,86%
Hillerød,7403,"Skævinge,Hillerød",2397,261,11%,0%,1%,88%
Hillerød,7404,"Ll Lyngby,Hillerød",1815,257,14%,0%,2%,84%
Hillerød,7405,"Strø,Hillerød",520,89,17%,0%,1%,81%
Hillerød,7406,"Gørløse,Hillerød",1341,187,14%,0%,1%,85%
Hillerød,7415,"Hillerød,Hillerød",5240,648,12%,0%,1%,87%
Hillerød,7416,"N Herlev,Hillerød",2120,194,9%,0%,1%,90%
Hillerød,7417,"Præstevang,Hillerød",7657,849,11%,0%,2%,87%
Hillerød,7422,"Uvelse,Hillerød",1225,138,11%,0%,1%,88%
Hillerød,7429,"Nødebo,Hillerød",1830,185,10%,0%,1%,89%
Hillerød,7436,"Frborg Slots,Hlrød",7507,821,11%,0%,1%,88%
Hillerød,7467,"Ullerød,Hillerød",6218,616,10%,0%,1%,89%
Hillerød,9154,"Grønnevang,Hillerød",3844,538,14%,0%,1%,85%
Hillerød,9241,"Gadevang,Hillerød",1008,82,8%,0%,1%,91%
Hjørring,,,95,40,42%,1%,5%,52%
Hjørring,8404,"Vrejlev,Hjørring",1305,208,16%,0%,1%,83%
Hjørring,8405,"Hæstrup,Hjørring",298,27,9%,0%,1%,90%
Hjørring,8406,"Børglum,Hjørring",648,89,14%,0%,1%,85%
Hjørring,8407,"Furreby,Hjørring",1590,119,7%,0%,1%,92%
Hjørring,8408,"Vejby,Hjørring",162,23,14%,0%,2%,83%
Hjørring,8409,"Sejlstrup,Hjørring",128,<10,,,,
Hjørring,8410,"Vrensted,Hjørring",561,71,13%,0%,1%,87%
Hjørring,8414,"Vrå,Hjørring",2549,303,12%,0%,2%,86%
Hjørring,8415,"Em,Hjørring",173,13,8%,0%,2%,90%
Hjørring,8428,"Mosbjerg,Hjørring",642,99,15%,0%,1%,84%
Hjørring,8429,"Bindslev,Hjørring",1439,183,13%,0%,1%,86%
Hjørring,8431,"Tolne,Hjørring",426,72,17%,0%,1%,82%
Hjørring,8432,"Hørmested,Hjørring",680,112,16%,0%,2%,82%
Hjørring,8454,"Skt Catharinæ,Hjørrg",12367,1247,10%,0%,2%,88%
Hjørring,8455,"Skt Hans,Hjørring",3905,251,6%,0%,1%,92%
Hjørring,8456,"Skt Olai,Hjørring",3361,215,6%,0%,1%,93%
Hjørring,8457,"Ugilt,Hjørring",916,119,13%,0%,1%,86%
Hjørring,8458,"Tårs,Hjørring",2847,310,11%,0%,1%,88%
Hjørring,8459,"Sindal,Hjørring",2864,294,10%,0%,2%,88%
Hjørring,8460,"Astrup,Hjørring",941,98,10%,0%,1%,88%
Hjørring,8461,"Bjergby,Hjørring",967,78,8%,0%,2%,90%
Hjørring,8462,"Mygdal,Hjørring",480,65,14%,0%,3%,84%
Hjørring,8463,"Horne,Hjørring",807,87,11%,0%,1%,88%
Hjørring,8464,"Asdal,Hjørring",733,84,11%,0%,1%,87%
Hjørring,8465,"Hirtshals,Hjørring",5048,645,13%,0%,1%,86%
Hjørring,8466,"Tornby,Hjørring",1240,87,7%,0%,0%,92%
Hjørring,8467,"Vidstrup,Hjørring",302,48,16%,0%,2%,82%
Hjørring,8468,"Skallerup,Hjørring",456,52,11%,1%,2%,86%
Hjørring,8469,"Vennebjerg,Hjørring",394,45,11%,0%,3%,86%
Hjørring,8470,"Rubjerg,Hjørring",293,34,12%,0%,0%,88%
Hjørring,8471,"Lyngby,Hjørring",124,15,12%,0%,1%,87%
Hjørring,8472,"Jelstrup,Hjørring",461,39,8%,0%,1%,90%
Hjørring,8473,"Mårup,Hjørring",586,38,6%,0%,1%,93%
Hjørring,8474,"Harritslv,Hjørring",170,24,14%,0%,0%,86%
Hjørring,8475,"Rakkeby,Hjørring",415,52,13%,0%,0%,87%
Hjørring,8482,"Tversted,Hjørring",771,68,9%,0%,1%,90%
Hjørring,8483,"Uggerby,Hjørring",407,55,14%,0%,2%,85%
Hjørring,9063,"Lendum,Hjørring",903,145,16%,0%,1%,83%
Hjørring,9101,"Bistrup,Hjørring",3634,285,8%,0%,1%,91%
Hjørring,9229,"Sørig,Hjørring",233,49,21%,0%,1%,78%
Holbæk,,,187,58,31%,0%,2%,67%
Holbæk,7246,"Orø,Holbæk",871,88,10%,0%,1%,89%
Holbæk,7274,"Skt Nikolai,Holbæk",12687,1212,10%,0%,1%,89%
Holbæk,7275,"Tveje Merløse,Holbæk",11167,1546,14%,0%,1%,85%
Holbæk,7278,"N Jernløse,Holbæk",2073,259,12%,0%,1%,86%
Holbæk,7279,"Kvanløse,Holbæk",483,63,13%,0%,2%,85%
Holbæk,7280,"S Jernløse,Holbæk",571,98,17%,0%,2%,81%
Holbæk,7281,"Søstrup,Holbæk",556,73,13%,0%,0%,87%
Holbæk,7284,"Tølløse,Holbæk",3774,385,10%,0%,1%,89%
Holbæk,7286,"Soderup,Holbæk",1136,126,11%,0%,1%,88%
Holbæk,7287,"Kr Eskilstr,Holbæk",993,136,14%,0%,1%,86%
Holbæk,7288,"St Tåstrup,Holbæk",1571,238,15%,0%,2%,83%
Holbæk,7289,"Ugerløse,Holbæk",1243,186,15%,0%,1%,84%
Holbæk,7290,"Undløse,Holbæk",1361,177,13%,0%,2%,85%
Holbæk,7291,"Søndersted,Holbæk",304,32,11%,0%,2%,88%
Holbæk,7294,"Hagested,Holbæk",1015,113,11%,0%,1%,87%
Holbæk,7295,"Gislinge,Holbæk",1519,172,11%,0%,1%,87%
Holbæk,7296,"Kundby,Holbæk",1528,224,15%,0%,1%,84%
Holbæk,7299,"Jyderup,Holbæk",4042,533,13%,0%,1%,86%
Holbæk,7300,"Holmstrup,Holbæk",411,51,12%,0%,1%,86%
Holbæk,9176,Hjembæk-Svinninge,3217,397,12%,0%,1%,86%
Holbæk,9177,"Butterup-Tuse,Holbæk",3011,257,9%,0%,1%,90%
Holbæk,9179,"Skamstrup-Fr.dal,Hol",1532,193,13%,0%,1%,86%
Holbæk,9189,Stigs Bjergby-Mørkøv,2190,326,15%,0%,1%,84%
Holbæk,9192,"Tuse Næs,Holbæk",2068,207,10%,0%,1%,89%
Holbæk,9292,"Vipperød,Holbæk",4184,418,10%,0%,1%,89%
Holstebro,,,118,51,43%,1%,3%,53%
Holstebro,8739,"Husby,Holstebro",232,24,10%,0%,1%,88%
Holstebro,8740,"S Nissum,Holstebro",720,80,11%,0%,1%,88%
Holstebro,8741,"Staby,Holstebro",587,79,13%,0%,1%,86%
Holstebro,8742,"Ulfborg,Holstebro",2114,234,11%,0%,1%,87%
Holstebro,8745,"N Felding,Holstebro",1112,102,9%,0%,1%,89%
Holstebro,8746,"Tvis,Holstebro",1395,143,10%,0%,1%,89%
Holstebro,8760,"Madum,Holstebro",225,41,18%,1%,3%,78%
Holstebro,8813,"Holstebro,Holstebro",10552,956,9%,0%,1%,90%
Holstebro,8814,"Måbjerg,Holstebro",2798,239,9%,0%,1%,90%
Holstebro,8815,"Nørrelands,Holstebro",6849,1132,17%,0%,3%,80%
Holstebro,8819,"Mejrup,Holstebro",4054,298,7%,0%,1%,91%
Holstebro,8821,"Borbjerg,Holstebro",1681,213,13%,0%,1%,86%
Holstebro,8825,"Navr,Holstebro",667,61,9%,0%,1%,90%
Holstebro,8826,"Sir,Holstebro",179,27,15%,1%,2%,83%
Holstebro,8827,"N Gørding,Holstebro",131,21,16%,0%,2%,82%
Holstebro,8828,"Vemb,Holstebro",1314,156,12%,0%,1%,87%
Holstebro,8829,"Bur,Holstebro",309,34,11%,0%,2%,87%
Holstebro,8832,"Sahl,Holstebro",346,46,13%,0%,1%,86%
Holstebro,8833,"Ejsing,Holstebro",764,97,13%,0%,2%,85%
Holstebro,8834,"Ryde,Holstebro",487,51,10%,0%,1%,89%
Holstebro,8835,"Handbjerg,Holstebro",400,31,8%,0%,1%,91%
Holstebro,8836,"Sevel,Holstebro",786,90,11%,0%,1%,87%
Holstebro,9130,"Mejdal,Holstebro",3150,176,6%,0%,1%,93%
Holstebro,9202,"Vinderup,Holstebro",2926,316,11%,0%,1%,88%
Holstebro,9203,"Trandum,Holstebro",395,52,13%,0%,2%,85%
Holstebro,9204,"Herrup,Holstebro",519,77,15%,1%,1%,83%
Holstebro,9206,"Ellebæk,Holstebro",4675,394,8%,0%,1%,91%
Holstebro,9207,"Hogager,Holstebro",249,37,15%,0%,2%,84%
Holstebro,9317,"Idom-Råsted, Holsteb",847,69,8%,0%,1%,91%
Horsens,,,227,89,39%,0%,5%,56%
Horsens,7964,"Hatting,Horsens",1947,193,10%,0%,1%,89%
Horsens,7966,"Torsted,Horsens",8060,714,9%,0%,1%,90%
Horsens,7967,"Tyrsted,Horsens",9936,908,9%,0%,1%,90%
Horsens,7968,"Uth,Horsens",640,76,12%,0%,2%,86%
Horsens,7989,"S Vissing,Horsens",993,126,13%,0%,1%,86%
Horsens,7991,"Grædstrup,Horsens",752,95,13%,0%,1%,86%
Horsens,7994,"Brædstrup,Horsens",3419,388,11%,0%,1%,87%
Horsens,7995,"Føvling,Horsens",411,46,11%,0%,1%,87%
Horsens,7996,"Tønning,Horsens",524,51,10%,0%,1%,89%
Horsens,7997,"Træden,Horsens",285,28,10%,0%,2%,88%
Horsens,8006,"Tyrsting,Horsens",172,29,17%,0%,1%,82%
Horsens,8037,"Østbirk,Horsens",2926,353,12%,0%,1%,87%
