,Start,End,RT,Count,CountCumul,HospCumul
0,2021-07-06,2021-07-06,0.9,2381.0,0.0,0.0
1,2021-07-06,2021-07-06,1.0,2381.0,0.0,0.0
2,2021-07-06,2021-07-06,1.1,2381.0,0.0,0.0
3,2021-07-06,2021-07-06,1.2,2381.0,0.0,0.0
4,2021-07-06,2021-07-06,1.2999999999999998,2381.0,0.0,0.0
5,2021-07-06,2021-07-06,1.4,2381.0,0.0,0.0
6,2021-07-06,2021-07-06,1.5,2381.0,0.0,0.0
7,2021-07-06,2021-07-06,1.5999999999999999,2381.0,0.0,0.0
8,2021-07-06,2021-07-06,1.6999999999999997,2381.0,0.0,0.0
9,2021-07-06,2021-07-13,0.9,771.7588783569914,771.7588783569914,37.35974079320443
10,2021-07-06,2021-07-13,1.0,902.8821941999954,902.8821941999954,43.707232515319895
11,2021-07-06,2021-07-13,1.1,1040.5902883423971,1040.590288342397,50.37348391399384
12,2021-07-06,2021-07-13,1.2,1184.5696565747344,1184.5696565747344,57.34331869993234
13,2021-07-06,2021-07-13,1.2999999999999998,1334.5472462750818,1334.5472462750818,64.60351878719683
14,2021-07-06,2021-07-13,1.4,1490.282454114778,1490.282454114778,72.14243691361135
15,2021-07-06,2021-07-13,1.5,1651.5611779377148,1651.561177937715,79.94970870076739
16,2021-07-06,2021-07-13,1.5999999999999999,1818.191290866505,1818.191290866505,88.0160335619922
17,2021-07-06,2021-07-13,1.6999999999999997,1989.9991282241674,1989.9991282241674,96.33300463926462
18,2021-07-06,2021-07-20,0.9,231.49234434203436,1003.2512226990259,48.40473007816218
19,2021-07-06,2021-07-20,1.0,316.8367436812578,1219.7189378812536,58.824183570383184
20,2021-07-06,2021-07-20,1.1,420.85539728702946,1461.4456856294264,70.45338490062797
21,2021-07-06,2021-07-20,1.2,545.3741786307809,1729.9438352055151,83.36427406409567
22,2021-07-06,2021-07-20,1.2999999999999998,692.2154229867945,2026.7626692618762,97.63058044447234
23,2021-07-06,2021-07-20,1.4,863.1982297675131,2353.480683882291,113.32744985939573
24,2021-07-06,2021-07-20,1.5,1060.138717582396,2711.6998955201116,130.531168789857
25,2021-07-06,2021-07-20,1.5999999999999999,1284.850242294562,3103.0415331610666,149.31895569211275
26,2021-07-06,2021-07-20,1.6999999999999997,1539.143585572873,3529.1427137970413,169.76879993081968
27,2021-07-06,2021-07-27,0.9,56.024842633387095,1059.2760653324128,51.13910727444682
28,2021-07-06,2021-07-27,1.0,89.69258795643398,1309.4115258376873,63.20185256889576
29,2021-07-06,2021-07-27,1.1,137.28607588657286,1598.7317615159998,77.15411120002567
30,2021-07-06,2021-07-27,1.2,202.48339499047148,1932.4272301959868,93.24739789695175
31,2021-07-06,2021-07-27,1.2999999999999998,289.48532212777985,2316.2479913896573,111.7605492725038
32,2021-07-06,2021-07-27,1.4,403.03646248768507,2756.517146369976,133.0003871256804
33,2021-07-06,2021-07-27,1.5,548.4453675139355,3260.145263034047,157.30242943093484
34,2021-07-06,2021-07-27,1.5999999999999999,731.6037421079957,3834.645275269063,185.03162434746798
35,2021-07-06,2021-07-27,1.6999999999999997,959.0048325776921,4488.147546374733,216.58309224972018
36,2021-07-06,2021-08-03,0.9,10.154184911397714,1069.4302502438104,51.65504438455719
37,2021-07-06,2021-08-03,1.0,19.013079781726123,1328.4246056194133,64.16794995101299
38,2021-07-06,2021-08-03,1.1,33.53038875103464,1632.2621502670343,78.85793650910655
39,2021-07-06,2021-08-03,1.2,56.27744460404422,1988.7046748000307,96.10722791245492
40,2021-07-06,2021-08-03,1.2999999999999998,90.61089790875766,2406.8588892984135,116.3653095242583
41,2021-07-06,2021-08-03,1.4,140.81567982177873,2897.332826191755,140.15687176249284
42,2021-07-06,2021-08-03,1.5,212.25887861249572,3472.4041416465425,168.09036062530112
43,2021-07-06,2021-08-03,1.5999999999999999,311.5542115444855,4146.199486813549,200.8670952494815
44,2021-07-06,2021-08-03,1.6999999999999997,446.7367412479558,4934.884287622689,239.29092067058824
45,2021-07-06,2021-08-10,0.9,1.2994297872816978,1070.7296800310921,51.7237193367311
46,2021-07-06,2021-08-10,1.0,2.845617426689254,1331.2702230461025,64.31834856159772
47,2021-07-06,2021-08-10,1.1,5.781692698821257,1638.0438429658554,79.16353126594456
48,2021-07-06,2021-08-10,1.2,11.042027238799339,1999.7467020388299,96.69089493552839
49,2021-07-06,2021-08-10,1.2999999999999998,20.019590512900198,2426.878479811314,117.42358541987602
50,2021-07-06,2021-08-10,1.4,34.72266262562256,2932.0554888173774,141.99250575178675
51,2021-07-06,2021-08-10,1.5,57.96524803391101,3530.3693896804543,171.15494916403188
52,2021-07-06,2021-08-10,1.5999999999999999,93.59449940271824,4239.793986216267,205.81576328693316
53,2021-07-06,2021-08-10,1.6999999999999997,146.7582379937043,5081.642525616393,247.0511792995827
54,2021-07-06,2021-08-17,0.9,0.12579538865519388,1070.8554754197476,51.73046256839593
55,2021-07-06,2021-08-17,1.0,0.3221783879494949,1331.5924014340524,64.33561991057057
56,2021-07-06,2021-08-17,1.1,0.7541445406136105,1638.7979875064696,79.20396213021503
57,2021-07-06,2021-08-17,1.2,1.6388055938050983,2001.3855076326354,96.77876005638065
58,2021-07-06,2021-08-17,1.2999999999999998,3.3455405539583567,2430.2240203652723,117.60297120723264
59,2021-07-06,2021-08-17,1.4,6.475472959711247,2938.530961777089,142.33974422691534
60,2021-07-06,2021-08-17,1.5,11.970437269894271,3542.3398269503477,171.7969015728958
61,2021-07-06,2021-08-17,1.5999999999999999,21.258392667338455,4261.052378883605,206.955911835798
