Dato,NyePositive_PCR,NyePositive_Antigen,AntalTest_PCR,AntalTest_Antigen,Dødsfald,Nyindlæggelser
2021-08-24,945.2857142857143,257.2857142857143,72713.14285714286,82780.42857142857,1.7142857142857142,33.285714285714285
2021-08-25,931.5714285714286,252.42857142857142,72579.71428571429,81789.71428571429,1.7142857142857142,31.428571428571427
2021-08-26,900.8571428571429,245.71428571428572,72018.42857142857,80708.85714285714,1.8571428571428572,29.285714285714285
2021-08-27,880.8571428571429,241.57142857142858,70654.14285714286,78830.57142857143,1.7142857142857142,31.285714285714285
2021-08-28,853.1428571428571,233.57142857142858,69391.57142857143,76965.85714285714,1.5714285714285714,30.857142857142858
2021-08-29,819.2857142857143,222.14285714285714,66531.57142857143,73558.85714285714,1.5714285714285714,30.428571428571427
2021-08-30,756.0,212.71428571428572,63705.142857142855,69179.28571428571,1.8571428571428572,30.857142857142858
2021-08-31,727.1428571428571,206.57142857142858,60706.142857142855,64466.42857142857,1.7142857142857142,27.857142857142858
2021-09-01,690.2857142857143,200.42857142857142,58807.142857142855,61061.57142857143,1.4285714285714286,27.714285714285715
2021-09-02,646.2857142857143,188.71428571428572,56823.857142857145,58326.57142857143,1.4285714285714286,28.285714285714285
2021-09-03,600.0,176.85714285714286,55341.0,55916.857142857145,1.8571428571428572,26.714285714285715
2021-09-04,570.0,172.28571428571428,53481.142857142855,53640.0,2.4285714285714284,26.714285714285715
2021-09-05,538.8571428571429,164.42857142857142,51813.71428571428,52267.0,3.142857142857143,25.714285714285715
2021-09-06,525.2857142857143,166.42857142857142,49735.857142857145,50646.0,3.142857142857143,25.285714285714285
2021-09-07,502.57142857142856,162.85714285714286,48361.0,47797.0,3.142857142857143,25.571428571428573
2021-09-08,487.2857142857143,153.57142857142858,47582.142857142855,45605.57142857143,3.2857142857142856,23.428571428571427
2021-09-09,466.0,148.28571428571428,46303.42857142857,44084.0,3.2857142857142856,22.571428571428573
2021-09-10,440.42857142857144,144.42857142857142,44425.857142857145,42002.0,2.7142857142857144,21.571428571428573
2021-09-11,402.2857142857143,137.71428571428572,42928.42857142857,39867.0,2.5714285714285716,18.714285714285715
2021-09-12,375.42857142857144,127.57142857142857,41688.28571428572,37952.28571428572,2.142857142857143,17.428571428571427
2021-09-13,349.0,118.71428571428571,40571.57142857143,36266.71428571428,2.2857142857142856,15.714285714285714
2021-09-14,338.57142857142856,112.57142857142857,39329.42857142857,34361.0,2.142857142857143,14.571428571428571
2021-09-15,323.14285714285717,110.71428571428571,38545.28571428572,33142.71428571428,2.4285714285714284,14.428571428571429
2021-09-16,314.7142857142857,110.28571428571429,37719.71428571428,32072.571428571428,2.5714285714285716,13.571428571428571
2021-09-17,310.0,107.71428571428571,37004.57142857143,31472.0,3.0,12.857142857142858
2021-09-18,310.14285714285717,103.0,36433.142857142855,30967.571428571428,2.7142857142857144,13.142857142857142
2021-09-19,317.42857142857144,106.71428571428571,36089.0,30440.428571428572,2.857142857142857,13.0
2021-09-20,326.2857142857143,109.28571428571429,35299.28571428572,29722.571428571428,2.4285714285714284,12.428571428571429
2021-09-21,332.14285714285717,109.57142857142857,34976.857142857145,29117.714285714286,2.5714285714285716,12.571428571428571
2021-09-22,350.85714285714283,116.28571428571429,34727.57142857143,28859.0,2.5714285714285716,12.857142857142858
2021-09-23,363.85714285714283,114.71428571428571,34655.42857142857,28699.714285714286,2.4285714285714284,14.142857142857142
2021-09-24,380.0,118.85714285714286,34518.857142857145,28248.85714285714,2.7142857142857144,13.428571428571429
2021-09-25,407.14285714285717,126.85714285714286,34561.57142857143,27916.428571428572,2.857142857142857,12.857142857142858
2021-09-26,413.7142857142857,131.28571428571428,34621.0,27937.85714285714,2.5714285714285716,13.428571428571429
