date,cases0_1,cases1_5,cases5_15,cases15_65,cases65,casesSum,pop0_1,pop1_4,pop5_14,pop15_64,pop65,popSum,ratio0_1,ratio1_4,ratio5_14,ratio15_64,ratio65,ratioAll,ratioK0_1,ratioK1_4,ratioK5_14,ratioK15_64,ratioK65,ratioKAll
1915-01-03,6,25,46,422,35,534,9396.6,36502.2,86777.2,334181.2,27778.6,494635.8,0.0006385288295766554,0.0006848902257946097,0.0005300931581106558,0.0012627879725131156,0.001259962705103929,0.0010795821895625024,0.6385288295766554,0.6848902257946098,0.5300931581106558,1.2627879725131157,1.2599627051039288,1.0795821895625024
1915-01-10,7,21,53,405,44,530,9396.6,36502.2,86777.2,334181.2,27778.6,494635.8,0.0007449503011727645,0.0005753077896674721,0.0006107595082579296,0.001211917366985336,0.0015839531149877966,0.0010714954315882515,0.7449503011727645,0.5753077896674721,0.6107595082579296,1.211917366985336,1.5839531149877966,1.0714954315882514
1915-01-17,3,36,110,406,39,594,9396.6,36502.2,86777.2,334181.2,27778.6,494635.8,0.0003192644147883277,0.000986241925144238,0.0012676140737428725,0.0012149097555457936,0.0014039584428300923,0.0012008835591762667,0.3192644147883277,0.986241925144238,1.2676140737428725,1.2149097555457935,1.4039584428300924,1.2008835591762668
1915-01-24,3,26,76,390,32,527,9396.6,36502.2,86777.2,334181.2,27778.6,494635.8,0.0003192644147883277,0.0007122858348263941,0.0008758060873132575,0.0011670315385784718,0.0011519659018093065,0.0010654303631075631,0.3192644147883277,0.7122858348263941,0.8758060873132575,1.1670315385784717,1.1519659018093065,1.0654303631075632
1915-01-31,3,20,101,519,37,680,9396.6,36502.2,86777.2,334181.2,27778.6,494635.8,0.0003192644147883277,0.0005479121806356877,0.0011639001949820922,0.0015530496628775048,0.0013319605739670107,0.0013747488556226622,0.3192644147883277,0.5479121806356877,1.1639001949820922,1.5530496628775048,1.3319605739670106,1.3747488556226621
1915-02-07,3,22,118,556,25,724,9396.6,36502.2,86777.2,334181.2,27778.6,494635.8,0.0003192644147883277,0.0006027033986992566,0.0013598041881968997,0.0016637680396144367,0.0008999733607885207,0.0014637031933394226,0.3192644147883277,0.6027033986992566,1.3598041881968996,1.6637680396144368,0.8999733607885206,1.4637031933394227
1915-02-14,2,30,69,486,34,621,9396.6,36502.2,86777.2,334181.2,27778.6,494635.8,0.00021284294319221845,0.0008218682709535317,0.0007951397371659837,0.0014543008403824034,0.001223963770672388,0.0012554691755024606,0.21284294319221844,0.8218682709535317,0.7951397371659836,1.4543008403824034,1.223963770672388,1.2554691755024605
1915-02-21,5,21,59,364,27,476,9396.6,36502.2,86777.2,334181.2,27778.6,494635.8,0.0005321073579805461,0.0005753077896674721,0.0006799020940984499,0.0010892294360065737,0.0009719712296516024,0.0009623241989358635,0.5321073579805461,0.5753077896674721,0.6799020940984498,1.0892294360065737,0.9719712296516024,0.9623241989358635
1915-02-28,2,26,31,291,12,362,9396.6,36502.2,86777.2,334181.2,27778.6,494635.8,0.00021284294319221845,0.0007122858348263941,0.000357236693509355,0.0008707850710931674,0.00043198721317848994,0.0007318515966697113,0.21284294319221844,0.7122858348263941,0.357236693509355,0.8707850710931674,0.4319872131784899,0.7318515966697113
1915-03-07,2,11,24,236,17,290,9396.6,36502.2,86777.2,334181.2,27778.6,494635.8,0.00021284294319221845,0.0003013516993496283,0.0002765703433620813,0.0007062037002679983,0.000611981885336194,0.0005862899531331942,0.21284294319221844,0.3013516993496283,0.2765703433620813,0.7062037002679983,0.611981885336194,0.5862899531331942
1915-03-14,2,10,21,188,16,237,9396.6,36502.2,86777.2,334181.2,27778.6,494635.8,0.00021284294319221845,0.00027395609031784387,0.00024199905044182114,0.0005625690493660325,0.0005759829509046533,0.00047914040997436904,0.21284294319221844,0.27395609031784385,0.24199905044182113,0.5625690493660325,0.5759829509046532,0.479140409974369
1915-03-21,1,3,15,136,5,160,9396.6,36502.2,86777.2,334181.2,27778.6,494635.8,0.00010642147159610923,8.218682709535316e-05,0.0001728564646013008,0.0004069648442222363,0.00017999467215770414,0.00032347031897003817,0.10642147159610922,0.08218682709535316,0.1728564646013008,0.4069648442222363,0.17999467215770415,0.3234703189700382
1915-03-28,0,3,8,72,4,87,9396.6,36502.2,86777.2,334181.2,27778.6,494635.8,0.0,8.218682709535316e-05,9.21901144540271e-05,0.00021545197635294862,0.0001439957377261633,0.00017588698593995825,0.0,0.08218682709535316,0.0921901144540271,0.21545197635294863,0.1439957377261633,0.17588698593995825
1915-04-04,0,4,5,89,7,105,9396.6,36502.2,86777.2,334181.2,27778.6,494635.8,0.0,0.00010958243612713755,5.7618821533766935e-05,0.00026632258188072816,0.0002519925410207858,0.00021227739682408753,0.0,0.10958243612713754,0.057618821533766934,0.26632258188072816,0.25199254102078583,0.21227739682408753
1915-04-11,0,6,8,86,0,100,9396.6,36502.2,86777.2,334181.2,27778.6,494635.8,0.0,0.00016437365419070632,9.21901144540271e-05,0.00025734541619935533,0.0,0.00020216894935627384,0.0,0.16437365419070632,0.0921901144540271,0.25734541619935536,0.0,0.20216894935627383
1915-04-18,3,2,3,53,2,63,9396.6,36502.2,86777.2,334181.2,27778.6,494635.8,0.0003192644147883277,5.479121806356877e-05,3.457129292026016e-05,0.00015859659370425386,7.199786886308166e-05,0.00012736643809445252,0.3192644147883277,0.05479121806356877,0.03457129292026016,0.15859659370425386,0.07199786886308165,0.12736643809445253
