DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_MEXRT(1.0),15/06/22 11:00:00,M,PC,SE,2020-03,1.5,
ESTAT:DEMO_MEXRT(1.0),15/06/22 11:00:00,M,PC,SE,2020-04,38.2,
ESTAT:DEMO_MEXRT(1.0),15/06/22 11:00:00,M,PC,SE,2020-05,23.9,
ESTAT:DEMO_MEXRT(1.0),15/06/22 11:00:00,M,PC,SE,2020-06,10.7,
ESTAT:DEMO_MEXRT(1.0),15/06/22 11:00:00,M,PC,SE,2020-07,-0.7,
ESTAT:DEMO_MEXRT(1.0),15/06/22 11:00:00,M,PC,SE,2020-08,-1.2,
ESTAT:DEMO_MEXRT(1.0),15/06/22 11:00:00,M,PC,SE,2020-09,-1.9,
ESTAT:DEMO_MEXRT(1.0),15/06/22 11:00:00,M,PC,SE,2020-10,-3.3,
ESTAT:DEMO_MEXRT(1.0),15/06/22 11:00:00,M,PC,SE,2020-11,10.7,
ESTAT:DEMO_MEXRT(1.0),15/06/22 11:00:00,M,PC,SE,2020-12,24.5,
ESTAT:DEMO_MEXRT(1.0),15/06/22 11:00:00,M,PC,SE,2021-01,18.4,p
ESTAT:DEMO_MEXRT(1.0),15/06/22 11:00:00,M,PC,SE,2021-02,-4.8,p
ESTAT:DEMO_MEXRT(1.0),15/06/22 11:00:00,M,PC,SE,2021-03,-7.5,p
ESTAT:DEMO_MEXRT(1.0),15/06/22 11:00:00,M,PC,SE,2021-04,-4.1,p
ESTAT:DEMO_MEXRT(1.0),15/06/22 11:00:00,M,PC,SE,2021-05,0.9,p
ESTAT:DEMO_MEXRT(1.0),15/06/22 11:00:00,M,PC,SE,2021-06,-1.7,p
ESTAT:DEMO_MEXRT(1.0),15/06/22 11:00:00,M,PC,SE,2021-07,-1.6,p
ESTAT:DEMO_MEXRT(1.0),15/06/22 11:00:00,M,PC,SE,2021-08,-0.2,p
ESTAT:DEMO_MEXRT(1.0),15/06/22 11:00:00,M,PC,SE,2021-09,3.7,p
ESTAT:DEMO_MEXRT(1.0),15/06/22 11:00:00,M,PC,SE,2021-10,0.1,p
ESTAT:DEMO_MEXRT(1.0),15/06/22 11:00:00,M,PC,SE,2021-11,2.8,p
ESTAT:DEMO_MEXRT(1.0),15/06/22 11:00:00,M,PC,SE,2021-12,4.4,p
ESTAT:DEMO_MEXRT(1.0),15/06/22 11:00:00,M,PC,SE,2022-01,5.2,p
ESTAT:DEMO_MEXRT(1.0),15/06/22 11:00:00,M,PC,SE,2022-02,3.5,p
ESTAT:DEMO_MEXRT(1.0),15/06/22 11:00:00,M,PC,SE,2022-03,-4.8,p
ESTAT:DEMO_MEXRT(1.0),15/06/22 11:00:00,M,PC,SE,2022-04,-4.7,p
