"Døde pr. dag (eksperimentel statistik) efter køn, tid og alder"

" "," ","I alt"
"I alt"
" ","2010M02D12",139
" ","2010M02D13",166
" ","2010M02D14",167
" ","2010M02D15",175
" ","2010M02D16",147
" ","2010M02D17",162
" ","2010M02D18",151
" ","2010M02D19",178
" ","2010M02D20",161
" ","2010M02D21",161
" ","2010M02D22",158
" ","2010M02D23",174
" ","2010M02D24",169
" ","2010M02D25",167
" ","2010M02D26",162
" ","2010M02D27",162
" ","2010M02D28",185
" ","2010M03D01",179
" ","2010M03D02",180
" ","2010M03D03",166
" ","2010M03D04",143
" ","2010M03D05",187
" ","2010M03D06",167
" ","2010M03D07",160
" ","2010M03D08",160
" ","2010M03D09",167
" ","2010M03D10",162
" ","2010M03D11",154
" ","2010M03D12",178
" ","2010M03D13",151
" ","2010M03D14",156
" ","2010M03D15",151
" ","2010M03D16",135
" ","2010M03D17",137
" ","2010M03D18",167
" ","2010M03D19",187
" ","2010M03D20",139
" ","2010M03D21",151
" ","2010M03D22",185
" ","2010M03D23",157
" ","2010M03D24",156
" ","2010M03D25",157
" ","2010M03D26",148
" ","2010M03D27",155
" ","2010M03D28",137
" ","2010M03D29",169
" ","2010M03D30",156
" ","2010M03D31",144
" ","2010M04D01",147
" ","2010M04D02",169
" ","2010M04D03",132
" ","2010M04D04",139
" ","2010M04D05",153
" ","2010M04D06",157
" ","2010M04D07",144
" ","2010M04D08",156
" ","2010M04D09",173
" ","2010M04D10",148
" ","2010M04D11",159
" ","2010M04D12",170
" ","2010M04D13",136
" ","2010M04D14",171
" ","2010M04D15",164
" ","2010M04D16",159
" ","2010M04D17",142
" ","2010M04D18",149
" ","2010M04D19",151
" ","2010M04D20",143
" ","2010M04D21",177
" ","2010M04D22",169
" ","2010M04D23",144
" ","2010M04D24",136
" ","2010M04D25",156
" ","2010M04D26",159
" ","2010M04D27",156
" ","2010M04D28",147
" ","2010M04D29",150
" ","2010M04D30",151
" ","2010M05D01",138
" ","2010M05D02",121
" ","2010M05D03",165
" ","2010M05D04",143
" ","2010M05D05",136
" ","2010M05D06",150
" ","2010M05D07",155
" ","2010M05D08",156
" ","2010M05D09",134
" ","2010M05D10",165
" ","2010M05D11",148
" ","2010M05D12",139
" ","2010M05D13",126
" ","2010M05D14",147
" ","2010M05D15",150
" ","2010M05D16",130
" ","2010M05D17",161
" ","2010M05D18",134
" ","2010M05D19",158
" ","2010M05D20",175
" ","2010M05D21",158
" ","2010M05D22",151
" ","2010M05D23",142
" ","2010M05D24",139
" ","2010M05D25",123
" ","2010M05D26",139
" ","2010M05D27",139
" ","2010M05D28",136
" ","2010M05D29",133
" ","2010M05D30",151
" ","2010M05D31",141
" ","2010M06D01",130
" ","2010M06D02",128
" ","2010M06D03",126
" ","2010M06D04",145
" ","2010M06D05",134
" ","2010M06D06",117
" ","2010M06D07",140
" ","2010M06D08",132
" ","2010M06D09",133
" ","2010M06D10",143
" ","2010M06D11",130
" ","2010M06D12",132
" ","2010M06D13",140
" ","2010M06D14",136
" ","2010M06D15",134
" ","2010M06D16",145
" ","2010M06D17",126
" ","2010M06D18",159
" ","2010M06D19",142
" ","2010M06D20",130
" ","2010M06D21",145
" ","2010M06D22",129
" ","2010M06D23",139
" ","2010M06D24",152
" ","2010M06D25",141
" ","2010M06D26",136
" ","2010M06D27",153
" ","2010M06D28",158
" ","2010M06D29",147
" ","2010M06D30",173
" ","2010M07D01",142
" ","2010M07D02",150
" ","2010M07D03",168
" ","2010M07D04",155
" ","2010M07D05",130
" ","2010M07D06",139
" ","2010M07D07",113
" ","2010M07D08",150
" ","2010M07D09",140
" ","2010M07D10",134
" ","2010M07D11",149
" ","2010M07D12",159
" ","2010M07D13",144
" ","2010M07D14",130
" ","2010M07D15",131
" ","2010M07D16",149
" ","2010M07D17",131
" ","2010M07D18",147
" ","2010M07D19",144
" ","2010M07D20",152
" ","2010M07D21",146
" ","2010M07D22",137
" ","2010M07D23",158
" ","2010M07D24",119
" ","2010M07D25",124
" ","2010M07D26",140
" ","2010M07D27",142
" ","2010M07D28",143
" ","2010M07D29",148
" ","2010M07D30",136
" ","2010M07D31",141
" ","2010M08D01",127
" ","2010M08D02",139
" ","2010M08D03",141
" ","2010M08D04",126
" ","2010M08D05",128
" ","2010M08D06",142
" ","2010M08D07",156
" ","2010M08D08",146
" ","2010M08D09",168
" ","2010M08D10",164
" ","2010M08D11",141
" ","2010M08D12",116
" ","2010M08D13",149
" ","2010M08D14",119
" ","2010M08D15",137
" ","2010M08D16",140
" ","2010M08D17",122
" ","2010M08D18",119
" ","2010M08D19",128
" ","2010M08D20",146
" ","2010M08D21",137
" ","2010M08D22",148
" ","2010M08D23",149
" ","2010M08D24",144
" ","2010M08D25",140
" ","2010M08D26",133
" ","2010M08D27",147
" ","2010M08D28",142
" ","2010M08D29",143
" ","2010M08D30",138
" ","2010M08D31",128
" ","2010M09D01",153
" ","2010M09D02",128
" ","2010M09D03",132
" ","2010M09D04",131
" ","2010M09D05",139
" ","2010M09D06",139
" ","2010M09D07",129
" ","2010M09D08",157
" ","2010M09D09",141
" ","2010M09D10",155
" ","2010M09D11",127
" ","2010M09D12",145
" ","2010M09D13",151
" ","2010M09D14",153
" ","2010M09D15",134
" ","2010M09D16",127
" ","2010M09D17",142
" ","2010M09D18",150
" ","2010M09D19",137
" ","2010M09D20",175
" ","2010M09D21",133
" ","2010M09D22",141
" ","2010M09D23",165
" ","2010M09D24",145
" ","2010M09D25",144
" ","2010M09D26",136
" ","2010M09D27",136
" ","2010M09D28",140
" ","2010M09D29",135
" ","2010M09D30",135
" ","2010M10D01",142
" ","2010M10D02",115
" ","2010M10D03",134
" ","2010M10D04",138
" ","2010M10D05",157
" ","2010M10D06",130
" ","2010M10D07",149
" ","2010M10D08",123
" ","2010M10D09",133
" ","2010M10D10",135
" ","2010M10D11",147
" ","2010M10D12",120
" ","2010M10D13",145
" ","2010M10D14",167
" ","2010M10D15",128
" ","2010M10D16",153
" ","2010M10D17",141
" ","2010M10D18",164
" ","2010M10D19",162
" ","2010M10D20",153
" ","2010M10D21",155
" ","2010M10D22",145
" ","2010M10D23",142
" ","2010M10D24",137
" ","2010M10D25",119
" ","2010M10D26",161
" ","2010M10D27",155
" ","2010M10D28",148
" ","2010M10D29",148
" ","2010M10D30",111
" ","2010M10D31",148
" ","2010M11D01",149
" ","2010M11D02",156
" ","2010M11D03",146
" ","2010M11D04",144
" ","2010M11D05",156
" ","2010M11D06",117
" ","2010M11D07",151
" ","2010M11D08",144
" ","2010M11D09",135
" ","2010M11D10",169
" ","2010M11D11",137
" ","2010M11D12",146
" ","2010M11D13",149
" ","2010M11D14",141
" ","2010M11D15",140
" ","2010M11D16",140
" ","2010M11D17",132
" ","2010M11D18",127
" ","2010M11D19",123
" ","2010M11D20",159
" ","2010M11D21",126
" ","2010M11D22",153
" ","2010M11D23",157
" ","2010M11D24",139
" ","2010M11D25",150
" ","2010M11D26",143
" ","2010M11D27",118
" ","2010M11D28",172
" ","2010M11D29",140
" ","2010M11D30",152
" ","2010M12D01",154
" ","2010M12D02",145
" ","2010M12D03",160
" ","2010M12D04",167
" ","2010M12D05",188
" ","2010M12D06",164
" ","2010M12D07",151
" ","2010M12D08",137
" ","2010M12D09",162
" ","2010M12D10",171
" ","2010M12D11",158
" ","2010M12D12",166
" ","2010M12D13",164
" ","2010M12D14",158
" ","2010M12D15",165
" ","2010M12D16",166
" ","2010M12D17",156
" ","2010M12D18",171
" ","2010M12D19",141
" ","2010M12D20",156
" ","2010M12D21",192
" ","2010M12D22",192
" ","2010M12D23",168
" ","2010M12D24",152
" ","2010M12D25",149
" ","2010M12D26",151
" ","2010M12D27",172
" ","2010M12D28",184
" ","2010M12D29",159
" ","2010M12D30",154
" ","2010M12D31",149
" ","2011M01D01",158
" ","2011M01D02",149
" ","2011M01D03",178
" ","2011M01D04",190
" ","2011M01D05",194
" ","2011M01D06",183
" ","2011M01D07",193
" ","2011M01D08",159
" ","2011M01D09",147
" ","2011M01D10",184
" ","2011M01D11",169
" ","2011M01D12",140
" ","2011M01D13",142
" ","2011M01D14",174
" ","2011M01D15",137
" ","2011M01D16",153
" ","2011M01D17",154
" ","2011M01D18",162
" ","2011M01D19",155
" ","2011M01D20",167
" ","2011M01D21",151
" ","2011M01D22",163
" ","2011M01D23",141
" ","2011M01D24",159
" ","2011M01D25",139
" ","2011M01D26",145
" ","2011M01D27",172
" ","2011M01D28",161
" ","2011M01D29",156
" ","2011M01D30",154
" ","2011M01D31",167
" ","2011M02D01",165
" ","2011M02D02",156
" ","2011M02D03",146
" ","2011M02D04",155
" ","2011M02D05",158
" ","2011M02D06",120
" ","2011M02D07",160
" ","2011M02D08",153
" ","2011M02D09",147
" ","2011M02D10",146
" ","2011M02D11",141
" ","2011M02D12",172
" ","2011M02D13",136
" ","2011M02D14",170
" ","2011M02D15",159
" ","2011M02D16",164
" ","2011M02D17",159
" ","2011M02D18",144
" ","2011M02D19",166
" ","2011M02D20",162
" ","2011M02D21",140
" ","2011M02D22",149
" ","2011M02D23",148
" ","2011M02D24",152
" ","2011M02D25",152
" ","2011M02D26",158
" ","2011M02D27",136
" ","2011M02D28",170
" ","2011M03D01",164
" ","2011M03D02",168
" ","2011M03D03",146
" ","2011M03D04",177
" ","2011M03D05",148
" ","2011M03D06",144
" ","2011M03D07",159
" ","2011M03D08",161
" ","2011M03D09",177
" ","2011M03D10",161
" ","2011M03D11",142
" ","2011M03D12",138
" ","2011M03D13",151
" ","2011M03D14",158
" ","2011M03D15",158
" ","2011M03D16",155
" ","2011M03D17",164
" ","2011M03D18",152
" ","2011M03D19",144
" ","2011M03D20",156
" ","2011M03D21",140
" ","2011M03D22",163
" ","2011M03D23",131
" ","2011M03D24",139
" ","2011M03D25",168
" ","2011M03D26",134
" ","2011M03D27",131
" ","2011M03D28",152
" ","2011M03D29",149
" ","2011M03D30",147
" ","2011M03D31",153
" ","2011M04D01",166
" ","2011M04D02",150
" ","2011M04D03",154
" ","2011M04D04",163
" ","2011M04D05",130
" ","2011M04D06",147
" ","2011M04D07",140
" ","2011M04D08",147
" ","2011M04D09",140
" ","2011M04D10",146
" ","2011M04D11",123
" ","2011M04D12",161
" ","2011M04D13",129
" ","2011M04D14",123
" ","2011M04D15",129
" ","2011M04D16",150
" ","2011M04D17",123
" ","2011M04D18",135
" ","2011M04D19",141
" ","2011M04D20",132
" ","2011M04D21",151
" ","2011M04D22",129
" ","2011M04D23",134
" ","2011M04D24",134
" ","2011M04D25",143
" ","2011M04D26",153
" ","2011M04D27",171
" ","2011M04D28",125
" ","2011M04D29",125
" ","2011M04D30",145
" ","2011M05D01",149
" ","2011M05D02",162
" ","2011M05D03",144
" ","2011M05D04",151
" ","2011M05D05",139
" ","2011M05D06",130
" ","2011M05D07",143
" ","2011M05D08",159
" ","2011M05D09",165
" ","2011M05D10",146
" ","2011M05D11",130
" ","2011M05D12",138
" ","2011M05D13",145
" ","2011M05D14",154
" ","2011M05D15",129
" ","2011M05D16",145
" ","2011M05D17",150
" ","2011M05D18",125
" ","2011M05D19",131
" ","2011M05D20",121
" ","2011M05D21",137
" ","2011M05D22",142
" ","2011M05D23",155
" ","2011M05D24",142
" ","2011M05D25",131
" ","2011M05D26",145
" ","2011M05D27",138
" ","2011M05D28",147
" ","2011M05D29",125
" ","2011M05D30",127
" ","2011M05D31",151
" ","2011M06D01",125
" ","2011M06D02",118
" ","2011M06D03",145
" ","2011M06D04",113
" ","2011M06D05",135
" ","2011M06D06",141
" ","2011M06D07",128
" ","2011M06D08",131
" ","2011M06D09",133
" ","2011M06D10",163
" ","2011M06D11",154
" ","2011M06D12",136
" ","2011M06D13",142
" ","2011M06D14",141
" ","2011M06D15",144
" ","2011M06D16",126
" ","2011M06D17",127
" ","2011M06D18",167
" ","2011M06D19",117
" ","2011M06D20",134
" ","2011M06D21",131
" ","2011M06D22",135
" ","2011M06D23",162
" ","2011M06D24",114
" ","2011M06D25",118
" ","2011M06D26",132
" ","2011M06D27",149
" ","2011M06D28",138
" ","2011M06D29",149
" ","2011M06D30",132
" ","2011M07D01",145
" ","2011M07D02",145
" ","2011M07D03",136
" ","2011M07D04",143
" ","2011M07D05",122
" ","2011M07D06",118
" ","2011M07D07",146
" ","2011M07D08",132
" ","2011M07D09",142
" ","2011M07D10",142
" ","2011M07D11",127
" ","2011M07D12",140
" ","2011M07D13",154
" ","2011M07D14",144
" ","2011M07D15",163
" ","2011M07D16",137
" ","2011M07D17",133
" ","2011M07D18",121
" ","2011M07D19",130
" ","2011M07D20",142
" ","2011M07D21",125
" ","2011M07D22",134
" ","2011M07D23",134
" ","2011M07D24",120
" ","2011M07D25",160
" ","2011M07D26",126
" ","2011M07D27",129
" ","2011M07D28",120
" ","2011M07D29",145
" ","2011M07D30",147
" ","2011M07D31",145
" ","2011M08D01",153
" ","2011M08D02",120
" ","2011M08D03",138
" ","2011M08D04",125
" ","2011M08D05",126
" ","2011M08D06",119
" ","2011M08D07",131
" ","2011M08D08",138
" ","2011M08D09",131
" ","2011M08D10",126
" ","2011M08D11",131
" ","2011M08D12",124
" ","2011M08D13",137
" ","2011M08D14",117
" ","2011M08D15",122
" ","2011M08D16",142
" ","2011M08D17",136
" ","2011M08D18",117
" ","2011M08D19",130
" ","2011M08D20",130
" ","2011M08D21",129
" ","2011M08D22",139
" ","2011M08D23",141
" ","2011M08D24",144
" ","2011M08D25",124
" ","2011M08D26",140
" ","2011M08D27",115
" ","2011M08D28",118
" ","2011M08D29",132
" ","2011M08D30",115
" ","2011M08D31",153
" ","2011M09D01",131
" ","2011M09D02",127
" ","2011M09D03",126
" ","2011M09D04",151
" ","2011M09D05",140
" ","2011M09D06",120
" ","2011M09D07",116
" ","2011M09D08",130
" ","2011M09D09",132
" ","2011M09D10",135
" ","2011M09D11",156
" ","2011M09D12",129
" ","2011M09D13",136
" ","2011M09D14",142
" ","2011M09D15",124
" ","2011M09D16",144
" ","2011M09D17",136
" ","2011M09D18",122
" ","2011M09D19",159
" ","2011M09D20",128
" ","2011M09D21",142
" ","2011M09D22",145
" ","2011M09D23",145
" ","2011M09D24",136
" ","2011M09D25",152
" ","2011M09D26",142
" ","2011M09D27",131
" ","2011M09D28",117
" ","2011M09D29",149
" ","2011M09D30",152
" ","2011M10D01",130
" ","2011M10D02",141
" ","2011M10D03",150
" ","2011M10D04",131
" ","2011M10D05",134
" ","2011M10D06",132
" ","2011M10D07",116
" ","2011M10D08",140
" ","2011M10D09",115
" ","2011M10D10",121
" ","2011M10D11",134
" ","2011M10D12",130
" ","2011M10D13",133
" ","2011M10D14",155
" ","2011M10D15",144
" ","2011M10D16",125
" ","2011M10D17",120
" ","2011M10D18",140
" ","2011M10D19",130
" ","2011M10D20",149
" ","2011M10D21",155
" ","2011M10D22",155
" ","2011M10D23",122
" ","2011M10D24",128
" ","2011M10D25",141
" ","2011M10D26",150
" ","2011M10D27",152
" ","2011M10D28",124
" ","2011M10D29",136
" ","2011M10D30",152
" ","2011M10D31",159
" ","2011M11D01",159
" ","2011M11D02",143
" ","2011M11D03",149
" ","2011M11D04",151
" ","2011M11D05",150
" ","2011M11D06",118
" ","2011M11D07",142
" ","2011M11D08",145
" ","2011M11D09",152
" ","2011M11D10",138
" ","2011M11D11",138
" ","2011M11D12",111
" ","2011M11D13",141
" ","2011M11D14",134
" ","2011M11D15",120
" ","2011M11D16",140
" ","2011M11D17",132
" ","2011M11D18",149
" ","2011M11D19",148
" ","2011M11D20",127
" ","2011M11D21",124
" ","2011M11D22",144
" ","2011M11D23",132
" ","2011M11D24",153
" ","2011M11D25",142
" ","2011M11D26",167
" ","2011M11D27",140
" ","2011M11D28",158
" ","2011M11D29",164
" ","2011M11D30",155
" ","2011M12D01",163
" ","2011M12D02",161
" ","2011M12D03",149
" ","2011M12D04",145
" ","2011M12D05",153
" ","2011M12D06",176
" ","2011M12D07",143
" ","2011M12D08",165
" ","2011M12D09",154
" ","2011M12D10",154
" ","2011M12D11",150
" ","2011M12D12",160
" ","2011M12D13",140
" ","2011M12D14",171
" ","2011M12D15",165
" ","2011M12D16",150
" ","2011M12D17",152
" ","2011M12D18",161
" ","2011M12D19",169
" ","2011M12D20",141
" ","2011M12D21",172
" ","2011M12D22",168
" ","2011M12D23",155
" ","2011M12D24",159
" ","2011M12D25",161
" ","2011M12D26",162
" ","2011M12D27",166
" ","2011M12D28",149
" ","2011M12D29",152
" ","2011M12D30",188
" ","2011M12D31",142
" ","2012M01D01",166
" ","2012M01D02",162
" ","2012M01D03",156
" ","2012M01D04",155
" ","2012M01D05",183
" ","2012M01D06",128
" ","2012M01D07",144
" ","2012M01D08",161
" ","2012M01D09",158
" ","2012M01D10",152
" ","2012M01D11",173
" ","2012M01D12",161
" ","2012M01D13",143
" ","2012M01D14",141
" ","2012M01D15",155
" ","2012M01D16",163
" ","2012M01D17",150
" ","2012M01D18",144
" ","2012M01D19",175
" ","2012M01D20",141
" ","2012M01D21",155
" ","2012M01D22",124
" ","2012M01D23",178
" ","2012M01D24",154
" ","2012M01D25",135
" ","2012M01D26",168
" ","2012M01D27",177
" ","2012M01D28",148
" ","2012M01D29",182
" ","2012M01D30",148
" ","2012M01D31",130
" ","2012M02D01",143
" ","2012M02D02",130
" ","2012M02D03",157
" ","2012M02D04",132
" ","2012M02D05",143
" ","2012M02D06",176
" ","2012M02D07",148
" ","2012M02D08",137
" ","2012M02D09",149
" ","2012M02D10",152
" ","2012M02D11",144
" ","2012M02D12",174
" ","2012M02D13",170
" ","2012M02D14",172
" ","2012M02D15",145
" ","2012M02D16",160
" ","2012M02D17",149
" ","2012M02D18",165
" ","2012M02D19",125
" ","2012M02D20",147
" ","2012M02D21",177
" ","2012M02D22",164
" ","2012M02D23",145
" ","2012M02D24",171
" ","2012M02D25",146
" ","2012M02D26",156
" ","2012M02D27",165
" ","2012M02D28",144
" ","2012M02D29",144
" ","2012M03D01",158
" ","2012M03D02",143
" ","2012M03D03",155
" ","2012M03D04",158
" ","2012M03D05",132
" ","2012M03D06",149
" ","2012M03D07",153
" ","2012M03D08",126
" ","2012M03D09",127
" ","2012M03D10",157
" ","2012M03D11",130
" ","2012M03D12",151
" ","2012M03D13",148
" ","2012M03D14",145
" ","2012M03D15",134
" ","2012M03D16",147
" ","2012M03D17",150
" ","2012M03D18",149
" ","2012M03D19",151
" ","2012M03D20",147
" ","2012M03D21",144
" ","2012M03D22",139
" ","2012M03D23",167
" ","2012M03D24",161
" ","2012M03D25",120
" ","2012M03D26",146
" ","2012M03D27",159
" ","2012M03D28",136
" ","2012M03D29",131
" ","2012M03D30",153
" ","2012M03D31",149
" ","2012M04D01",149
" ","2012M04D02",132
" ","2012M04D03",166
" ","2012M04D04",155
" ","2012M04D05",162
" ","2012M04D06",152
" ","2012M04D07",135
" ","2012M04D08",135
" ","2012M04D09",158
" ","2012M04D10",152
" ","2012M04D11",149
" ","2012M04D12",148
" ","2012M04D13",157
" ","2012M04D14",147
" ","2012M04D15",134
" ","2012M04D16",139
" ","2012M04D17",155
" ","2012M04D18",151
" ","2012M04D19",153
" ","2012M04D20",150
" ","2012M04D21",142
" ","2012M04D22",169
" ","2012M04D23",155
" ","2012M04D24",132
" ","2012M04D25",157
" ","2012M04D26",145
" ","2012M04D27",147
" ","2012M04D28",148
" ","2012M04D29",152
" ","2012M04D30",154
" ","2012M05D01",139
" ","2012M05D02",146
" ","2012M05D03",152
" ","2012M05D04",146
" ","2012M05D05",110
" ","2012M05D06",137
" ","2012M05D07",142
" ","2012M05D08",134
" ","2012M05D09",152
" ","2012M05D10",153
" ","2012M05D11",162
" ","2012M05D12",141
" ","2012M05D13",129
" ","2012M05D14",120
" ","2012M05D15",126
" ","2012M05D16",127
" ","2012M05D17",149
" ","2012M05D18",143
" ","2012M05D19",135
" ","2012M05D20",144
" ","2012M05D21",134
" ","2012M05D22",145
" ","2012M05D23",147
" ","2012M05D24",145
" ","2012M05D25",142
" ","2012M05D26",117
" ","2012M05D27",122
" ","2012M05D28",138
" ","2012M05D29",135
" ","2012M05D30",130
" ","2012M05D31",154
" ","2012M06D01",122
" ","2012M06D02",128
" ","2012M06D03",149
" ","2012M06D04",141
" ","2012M06D05",164
" ","2012M06D06",146
" ","2012M06D07",130
" ","2012M06D08",134
" ","2012M06D09",157
" ","2012M06D10",124
" ","2012M06D11",135
" ","2012M06D12",129
" ","2012M06D13",126
" ","2012M06D14",118
" ","2012M06D15",134
" ","2012M06D16",132
" ","2012M06D17",142
" ","2012M06D18",140
" ","2012M06D19",141
" ","2012M06D20",131
" ","2012M06D21",148
" ","2012M06D22",161
" ","2012M06D23",134
" ","2012M06D24",139
" ","2012M06D25",129
" ","2012M06D26",130
" ","2012M06D27",142
" ","2012M06D28",162
" ","2012M06D29",136
" ","2012M06D30",150
" ","2012M07D01",134
" ","2012M07D02",113
" ","2012M07D03",132
" ","2012M07D04",138
" ","2012M07D05",146
" ","2012M07D06",131
" ","2012M07D07",132
" ","2012M07D08",122
" ","2012M07D09",119
" ","2012M07D10",132
" ","2012M07D11",133
" ","2012M07D12",147
" ","2012M07D13",125
" ","2012M07D14",133
" ","2012M07D15",135
" ","2012M07D16",147
" ","2012M07D17",137
" ","2012M07D18",143
" ","2012M07D19",143
" ","2012M07D20",115
" ","2012M07D21",127
" ","2012M07D22",120
" ","2012M07D23",122
" ","2012M07D24",145
" ","2012M07D25",149
" ","2012M07D26",150
" ","2012M07D27",149
" ","2012M07D28",132
" ","2012M07D29",123
" ","2012M07D30",133
" ","2012M07D31",136
" ","2012M08D01",133
" ","2012M08D02",144
" ","2012M08D03",133
" ","2012M08D04",114
" ","2012M08D05",130
" ","2012M08D06",143
" ","2012M08D07",131
" ","2012M08D08",124
" ","2012M08D09",157
" ","2012M08D10",120
" ","2012M08D11",133
" ","2012M08D12",132
" ","2012M08D13",117
" ","2012M08D14",139
" ","2012M08D15",135
" ","2012M08D16",119
" ","2012M08D17",128
" ","2012M08D18",132
" ","2012M08D19",128
" ","2012M08D20",129
" ","2012M08D21",162
" ","2012M08D22",133
" ","2012M08D23",136
" ","2012M08D24",132
" ","2012M08D25",120
" ","2012M08D26",137
" ","2012M08D27",125
" ","2012M08D28",110
" ","2012M08D29",131
" ","2012M08D30",148
" ","2012M08D31",138
" ","2012M09D01",162
" ","2012M09D02",125
" ","2012M09D03",114
" ","2012M09D04",134
" ","2012M09D05",121
" ","2012M09D06",135
" ","2012M09D07",125
" ","2012M09D08",133
" ","2012M09D09",124
" ","2012M09D10",144
" ","2012M09D11",139
" ","2012M09D12",140
" ","2012M09D13",127
" ","2012M09D14",141
" ","2012M09D15",149
" ","2012M09D16",134
" ","2012M09D17",140
" ","2012M09D18",132
" ","2012M09D19",124
" ","2012M09D20",119
" ","2012M09D21",132
" ","2012M09D22",145
" ","2012M09D23",144
" ","2012M09D24",125
" ","2012M09D25",157
" ","2012M09D26",147
" ","2012M09D27",152
" ","2012M09D28",117
" ","2012M09D29",131
" ","2012M09D30",120
" ","2012M10D01",136
" ","2012M10D02",135
" ","2012M10D03",157
" ","2012M10D04",144
" ","2012M10D05",139
" ","2012M10D06",144
" ","2012M10D07",129
" ","2012M10D08",163
" ","2012M10D09",133
" ","2012M10D10",136
" ","2012M10D11",149
" ","2012M10D12",156
" ","2012M10D13",136
" ","2012M10D14",135
" ","2012M10D15",143
" ","2012M10D16",139
" ","2012M10D17",122
" ","2012M10D18",140
" ","2012M10D19",139
" ","2012M10D20",148
" ","2012M10D21",151
" ","2012M10D22",120
" ","2012M10D23",127
" ","2012M10D24",150
" ","2012M10D25",131
" ","2012M10D26",145
" ","2012M10D27",138
" ","2012M10D28",136
" ","2012M10D29",133
" ","2012M10D30",135
" ","2012M10D31",152
" ","2012M11D01",128
" ","2012M11D02",153
" ","2012M11D03",140
" ","2012M11D04",132
" ","2012M11D05",136
" ","2012M11D06",130
" ","2012M11D07",153
" ","2012M11D08",150
" ","2012M11D09",146
" ","2012M11D10",140
" ","2012M11D11",150
" ","2012M11D12",130
" ","2012M11D13",153
" ","2012M11D14",148
" ","2012M11D15",153
" ","2012M11D16",148
" ","2012M11D17",119
" ","2012M11D18",125
" ","2012M11D19",137
" ","2012M11D20",138
" ","2012M11D21",140
" ","2012M11D22",123
" ","2012M11D23",165
" ","2012M11D24",132
" ","2012M11D25",137
" ","2012M11D26",150
" ","2012M11D27",131
" ","2012M11D28",125
" ","2012M11D29",146
" ","2012M11D30",146
" ","2012M12D01",154
" ","2012M12D02",132
" ","2012M12D03",136
" ","2012M12D04",146
" ","2012M12D05",126
" ","2012M12D06",156
" ","2012M12D07",166
" ","2012M12D08",133
" ","2012M12D09",146
" ","2012M12D10",138
" ","2012M12D11",146
" ","2012M12D12",134
" ","2012M12D13",141
" ","2012M12D14",146
" ","2012M12D15",161
" ","2012M12D16",156
" ","2012M12D17",158
" ","2012M12D18",163
" ","2012M12D19",154
" ","2012M12D20",170
" ","2012M12D21",167
" ","2012M12D22",162
" ","2012M12D23",177
" ","2012M12D24",166
" ","2012M12D25",172
" ","2012M12D26",166
" ","2012M12D27",161
" ","2012M12D28",186
" ","2012M12D29",178
" ","2012M12D30",172
" ","2012M12D31",158
" ","2013M01D01",208
" ","2013M01D02",185
" ","2013M01D03",195
" ","2013M01D04",187
" ","2013M01D05",185
" ","2013M01D06",189
" ","2013M01D07",195
" ","2013M01D08",159
" ","2013M01D09",170
" ","2013M01D10",166
" ","2013M01D11",166
" ","2013M01D12",169
" ","2013M01D13",176
" ","2013M01D14",171
" ","2013M01D15",180
" ","2013M01D16",152
" ","2013M01D17",165
" ","2013M01D18",192
" ","2013M01D19",174
" ","2013M01D20",150
" ","2013M01D21",160
" ","2013M01D22",163
" ","2013M01D23",163
" ","2013M01D24",164
" ","2013M01D25",172
" ","2013M01D26",164
" ","2013M01D27",166
" ","2013M01D28",163
" ","2013M01D29",191
" ","2013M01D30",187
" ","2013M01D31",173
" ","2013M02D01",184
" ","2013M02D02",181
" ","2013M02D03",168
" ","2013M02D04",163
" ","2013M02D05",173
" ","2013M02D06",183
" ","2013M02D07",191
" ","2013M02D08",185
" ","2013M02D09",174
" ","2013M02D10",168
" ","2013M02D11",216
" ","2013M02D12",167
" ","2013M02D13",163
" ","2013M02D14",166
" ","2013M02D15",179
" ","2013M02D16",159
" ","2013M02D17",179
" ","2013M02D18",153
" ","2013M02D19",179
" ","2013M02D20",165
" ","2013M02D21",162
" ","2013M02D22",148
" ","2013M02D23",168
" ","2013M02D24",168
" ","2013M02D25",170
" ","2013M02D26",174
" ","2013M02D27",170
" ","2013M02D28",173
" ","2013M03D01",189
" ","2013M03D02",167
" ","2013M03D03",158
" ","2013M03D04",187
" ","2013M03D05",173
" ","2013M03D06",165
" ","2013M03D07",146
" ","2013M03D08",148
" ","2013M03D09",167
" ","2013M03D10",133
" ","2013M03D11",148
" ","2013M03D12",158
" ","2013M03D13",144
" ","2013M03D14",171
" ","2013M03D15",168
" ","2013M03D16",154
" ","2013M03D17",145
" ","2013M03D18",164
" ","2013M03D19",161
" ","2013M03D20",154
" ","2013M03D21",158
" ","2013M03D22",141
" ","2013M03D23",153
" ","2013M03D24",176
" ","2013M03D25",153
" ","2013M03D26",177
" ","2013M03D27",180
" ","2013M03D28",146
" ","2013M03D29",156
" ","2013M03D30",148
" ","2013M03D31",157
" ","2013M04D01",147
" ","2013M04D02",168
" ","2013M04D03",151
" ","2013M04D04",164
" ","2013M04D05",149
" ","2013M04D06",158
" ","2013M04D07",157
" ","2013M04D08",158
" ","2013M04D09",155
" ","2013M04D10",156
" ","2013M04D11",161
" ","2013M04D12",136
" ","2013M04D13",161
" ","2013M04D14",142
" ","2013M04D15",148
" ","2013M04D16",168
" ","2013M04D17",163
" ","2013M04D18",157
