"Døde pr. dag (eksperimentel statistik) efter køn, tid og alder"

" "," ","I alt"
"I alt"
" ","2007M09D20",122
" ","2007M09D21",165
" ","2007M09D22",134
" ","2007M09D23",160
" ","2007M09D24",149
" ","2007M09D25",141
" ","2007M09D26",133
" ","2007M09D27",138
" ","2007M09D28",123
" ","2007M09D29",130
" ","2007M09D30",136
" ","2007M10D01",149
" ","2007M10D02",139
" ","2007M10D03",137
" ","2007M10D04",144
" ","2007M10D05",129
" ","2007M10D06",147
" ","2007M10D07",135
" ","2007M10D08",129
" ","2007M10D09",133
" ","2007M10D10",146
" ","2007M10D11",142
" ","2007M10D12",157
" ","2007M10D13",137
" ","2007M10D14",141
" ","2007M10D15",146
" ","2007M10D16",157
" ","2007M10D17",132
" ","2007M10D18",146
" ","2007M10D19",113
" ","2007M10D20",134
" ","2007M10D21",119
" ","2007M10D22",121
" ","2007M10D23",152
" ","2007M10D24",133
" ","2007M10D25",164
" ","2007M10D26",151
" ","2007M10D27",149
" ","2007M10D28",151
" ","2007M10D29",154
" ","2007M10D30",178
" ","2007M10D31",148
" ","2007M11D01",138
" ","2007M11D02",142
" ","2007M11D03",144
" ","2007M11D04",129
" ","2007M11D05",141
" ","2007M11D06",151
" ","2007M11D07",134
" ","2007M11D08",164
" ","2007M11D09",173
" ","2007M11D10",153
" ","2007M11D11",161
" ","2007M11D12",151
" ","2007M11D13",130
" ","2007M11D14",175
" ","2007M11D15",147
" ","2007M11D16",153
" ","2007M11D17",146
" ","2007M11D18",161
" ","2007M11D19",131
" ","2007M11D20",125
" ","2007M11D21",143
" ","2007M11D22",154
" ","2007M11D23",133
" ","2007M11D24",151
" ","2007M11D25",151
" ","2007M11D26",153
" ","2007M11D27",164
" ","2007M11D28",163
" ","2007M11D29",171
" ","2007M11D30",163
" ","2007M12D01",159
" ","2007M12D02",139
" ","2007M12D03",159
" ","2007M12D04",163
" ","2007M12D05",143
" ","2007M12D06",158
" ","2007M12D07",155
