Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     212 (53);     189 (47);     401
10-19;     413 (56);     331 (44);     744
20-29;   1.195 (61);     766 (39);   1.961
30-39;   1.165 (59);     793 (41);   1.958
40-49;   1.395 (60);     946 (40);   2.341
50-59;   1.425 (59);     986 (41);   2.411
60-69;     759 (50);     759 (50);   1.518
70-79;     514 (46);     610 (54);   1.124
80-89;     485 (57);     364 (43);     849
90+;     196 (73);      74 (27);     270
I alt;   7.759 (57);   5.818 (43);  13.577
