,VaccRate,Denmark,Peru,Brazil,Africa,Asia,Europe,Latin America and the Caribbean,Northern America,Oceania,WORLD
0,0.0,1.2025797563617526,0.5308816422696528,0.5851463788962978,0.21079279521047206,0.5209988290363665,1.1971202219738968,0.5522135016352077,1.0184205095685348,0.7849038674068457,0.5601022981636392
1,0.01,1.0798033169166743,0.4197039355535719,0.4694177168358476,0.13731503358765773,0.41348192353378543,1.0726516098222503,0.43617752031595586,0.8931985010309821,0.6626582193495723,0.44629620926566377
2,0.02,0.9702948164399431,0.339072378048084,0.3833508351464936,0.10104309443965627,0.34221395483853095,0.9630701327425147,0.3521044068596316,0.7817858697799068,0.563003371175241,0.3633116837001266
3,0.03,0.8823926345974921,0.2864227024703228,0.3311576385078912,0.0769684664110264,0.28959666665036216,0.8661104701373575,0.2995890820943607,0.6952089033355473,0.4753979701283128,0.31091189787135565
4,0.04,0.7972016487836402,0.24444321473278172,0.2855004058008778,0.060816196608387434,0.2547098907912324,0.7807498784437127,0.25595805887572187,0.6080680869877167,0.4220565068596502,0.2677996923058548
5,0.05,0.7217481045906081,0.20892252129934683,0.25041189332605457,0.052782682888475714,0.219297267632097,0.6935922216617805,0.22055857432800224,0.5565205701960845,0.3691719342045841,0.2325248565310839
6,0.06,0.6714891385852856,0.1778495712221636,0.2145768167560222,0.04643324989372262,0.19189050774290572,0.6315524540136291,0.18735340080360166,0.5045038644631608,0.3274401020019859,0.19813037297279742
7,0.07,0.620148438523742,0.1540600749205447,0.18989901858443659,0.04191689153642606,0.16825198873852587,0.5797832163150187,0.16366609255684217,0.45162896664856383,0.2920478785123863,0.17455894980828204
8,0.08,0.5676934479221198,0.12975341565584705,0.16598192430720046,0.037302352164139525,0.14409958992704008,0.5268885745554275,0.13946385022818591,0.41720201810925384,0.25588642833009234,0.15047510440105985
9,0.09,0.5190047310658605,0.1096833588297602,0.14153916823065626,0.03337575067564572,0.12167522174174973,0.4794734417521594,0.11527075784931749,0.3820184239026622,0.22227861832609233,0.12586194371016238
10,0.1,0.4845613492898245,0.10174650726120199,0.12365088655361331,0.029418309521536738,0.11387161309443582,0.4445908234281935,0.10739598849208769,0.34605297204703533,0.19818979489335192,0.11228343175255887
11,0.11,0.449343958934552,0.09363129947762,0.11578179539129439,0.025371937105537666,0.10589264245504748,0.40892432604076756,0.09934425802570664,0.3092793077901583,0.17355964958571848,0.10428661637899213
12,0.12,0.41332617334393223,0.08533165515350204,0.10773386124801365,0.023035524986490096,0.09773233157385483,0.37244722643999123,0.09110953368508964,0.2805245374722713,0.14836972824836614,0.09610805520148064
13,0.13,0.3764803926822635,0.07887581829534057,0.09950091712442757,0.021141471459689046,0.08938442733907155,0.33513157282540385,0.08277163846533099,0.25627455827916257,0.126856413511817,0.08774148112333675
14,0.14,0.338777074773895,0.07436908890976843,0.09107650517460182,0.019203370030199913,0.08471269590526352,0.3061316478970663,0.07831020862414557,0.23146061927632908,0.11875007352279149,0.08139509012944109
15,0.15,0.3028462312439458,0.06975631883277104,0.0864648963623387,0.01721966651007745,0.08022161541909935,0.2816123443604644,0.07374380535970243,0.20606283665578456,0.11045303500621272,0.07686497889032222
16,0.16,0.27799591581503164,0.06503372089679753,0.08194121006362196,0.016443803468397886,0.07562360434724881,0.2565092445638899,0.06906867750143049,0.18006033795796386,0.10195842828009619,0.07222700785979577
17,0.17,0.25254635285008836,0.06019732542019817,0.07730851927577952,0.015804024491460313,0.07091479782788378,0.2308012473163095,0.06428089521888679,0.15755923268311176,0.09325911160516495,0.06747727849118432
18,0.18,0.2264769691941123,0.05606729719680421,0.072562836029697,0.015148641247006262,0.06609114236902205,0.20446623279050363,0.05947460526653328,0.14943190845572177,0.08641848895373981,0.06261170206480186
19,0.19,0.19976344131659848,0.05195028290854926,0.0676999754195137,0.01447707565072912,0.0618266128711154,0.17748096742652558,0.055399656510003385,0.1411039073255455,0.0817266857870632,0.05815482958839133
20,0.2,0.1723820752421469,0.04773034326308794,0.06319351368860582,0.013812921433051396,0.05773012735018617,0.16716218273592426,0.05122283403456025,0.13256770616711477,0.07691758754121966,0.05401244677642803
21,0.21,0.16112095333042287,0.04340356970255166,0.05906247646256976,0.013378562555909357,0.0535299333350562,0.1588477799857461,0.04694026921796665,0.12381539865024282,0.07198673997269657,0.04976519351352897
22,0.22,0.1526225040141462,0.038965853230206744,0.05482551520509688,0.012933066271661105,0.049222042037486986,0.15032018742146078,0.04254789504710143,0.11483867299191262,0.06692946041523697,0.045409036320811974
23,0.23,0.14390331575458967,0.035575591401079916,0.05047850300587145,0.012475998655354464,0.04480225745946143,0.14157109894641481,0.03804143323543449,0.10562878562817124,0.061840246151142635,0.04093973218802441
24,0.24,0.13495467517241325,0.033572399421907526,0.04601709574877167,0.012006902943881858,0.04026616276096152,0.13259177130097288,0.034922555279502145,0.10049603684562047,0.057528335514375355,0.03635281478858454
25,0.25,0.12576740417471208,0.0315157889899572,0.04143671763148257,0.011525298013436646,0.03683608801558675,0.12337299491831918,0.032883946925653086,0.09561659006416812,0.053101440593960984,0.033897867747377956
26,0.26,0.11633182855545142,0.029403594492278494,0.03799879747219309,0.01106389847024138,0.034795789450686815,0.115572487982539,0.030790241048727022,0.09060526634267653,0.048554899864886744,0.0318178635031779
27,0.27,0.11091482811499702,0.027233531652197628,0.03594647615993022,0.01069316731603547,0.032699592294967696,0.11076588445552522,0.028639173366953666,0.0854566460808701,0.043883796376111846,0.029680872813537373
28,0.28,0.1059766900298005,0.025003189288781178,0.03383714690089409,0.010312138045395668,0.030545167393412846,0.10582576349392853,0.026428353462370244,0.0801650071350912,0.03908292860685842,0.02748452132776112
29,0.29,0.10089962480965763,0.023107085219925737,0.031668400950531604,0.00992037561431048,0.028330054561919418,0.1007464855541444,0.024155257635933156,0.07472431088724546,0.03558517226965436,0.025226300757473504
30,0.3,0.09567741165758777,0.022443679943846755,0.029437689795279456,0.009517419941268162,0.02605165274397281,0.09552208469842434,0.022613910868247353,0.06948767682909442,0.033410414990389686,0.02290355959946339
31,0.31,0.09030383000835653,0.0217610455293307,0.02714232034567218,0.009102784393644906,0.02370721029362196,0.0901462519338429,0.021933743568577687,0.064849158311466,0.031172621268247772,0.02169330786353442
32,0.32,0.08477220184003022,0.021058333632034763,0.024779440029899978,0.008675953682856263,0.022635895250919504,0.08461230644089138,0.0212335713483295,0.060074212778613224,0.028869010083689917,0.02098959982409442
33,0.33,0.07927426594441803,0.020334645260192675,0.024061361971728843,0.00830131007457679,0.02193575257488167,0.07924535367468429,0.020512498464790318,0.055156731558212595,0.02649663438616019,0.020264885574521874
34,0.34,0.07457310492019666,0.01958902693768871,0.023372209053945124,0.008007115025880994,0.02121439345411541,0.07454383635644421,0.019769574772485813,0.05009023436104672,0.024052362701702357,0.019518210287083504
35,0.35000000000000003,0.0697273751770864,0.018820464146072444,0.022661851430998824,0.0077038678441129745,0.020470838651827077,0.06969765760510249,0.01900379200494631,0.04486784633642845,0.022264545211733607,0.01874856036539046
36,0.36,0.06473030397874445,0.018114732867864594,0.02192929513233545,0.007391144211595307,0.019704047795011063,0.06470003644636693,0.018214078648509182,0.03976270657761296,0.021525782734494157,0.01795485890400941
37,0.37,0.05957450793800303,0.01763834334628669,0.02117348307815896,0.007068492821014566,0.018912914354527834,0.059543759968603636,0.01763837712516871,0.037412619669032504,0.020763565721621774,0.01725612298017993
38,0.38,0.054252395895947346,0.017146586420786914,0.020393289989976773,0.006735433321060257,0.0181465076402461,0.05422115199155766,0.017146620744489614,0.03498672350533655,0.01997676106317286,0.01675820121006553
