"HealthTopic,""Population"",""Indicator"",""Unit"",""Time"",""RegionCode"",""RegionName"",""NumValue"",""TxtValue"""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W42"",""PT"",""Portugal"",0.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W42"",""SE"",""Sweden"",8.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W42"",""SI"",""Slovenia"",2.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W42"",""SK"",""Slovakia"",1.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W43"",""CZ"",""Czechia"",0.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W43"",""DE"",""Germany"",0.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W43"",""DK"",""Denmark"",0.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W43"",""EE"",""Estonia"",1.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W43"",""EL"",""Greece"",0.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W43"",""ES"",""Spain"",8.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W43"",""EU31_UKX"",""EU/EEA"",104.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W43"",""FI"",""Finland"",0.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W43"",""FR"",""France"",48.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W43"",""HU"",""Hungary"",1.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W43"",""IE"",""Ireland"",24.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W43"",""IT"",""Italy"",0.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W43"",""LV"",""Latvia"",2.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W43"",""NL"",""Netherlands"",1.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W43"",""PL"",""Poland"",2.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W43"",""PT"",""Portugal"",0.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W43"",""SE"",""Sweden"",9.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W43"",""SI"",""Slovenia"",7.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W43"",""SK"",""Slovakia"",1.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W44"",""DE"",""Germany"",0.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W44"",""DK"",""Denmark"",0.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W44"",""EE"",""Estonia"",0.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W44"",""EL"",""Greece"",0.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W44"",""ES"",""Spain"",7.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W44"",""EU31_UKX"",""EU/EEA"",128.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W44"",""FI"",""Finland"",0.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W44"",""FR"",""France"",74.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W44"",""IE"",""Ireland"",20.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W44"",""LV"",""Latvia"",3.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W44"",""NL"",""Netherlands"",1.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W44"",""PL"",""Poland"",0.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W44"",""PT"",""Portugal"",1.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W44"",""SE"",""Sweden"",13.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W44"",""SI"",""Slovenia"",9.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W45"",""DE"",""Germany"",1.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W45"",""DK"",""Denmark"",2.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W45"",""EE"",""Estonia"",1.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W45"",""EL"",""Greece"",0.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W45"",""ES"",""Spain"",31.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W45"",""EU31_UKX"",""EU/EEA"",195.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W45"",""FI"",""Finland"",0.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W45"",""FR"",""France"",98.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W45"",""IE"",""Ireland"",23.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W45"",""LV"",""Latvia"",1.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W45"",""NL"",""Netherlands"",5.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W45"",""PL"",""Poland"",0.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W45"",""PT"",""Portugal"",0.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W45"",""SE"",""Sweden"",20.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W45"",""SI"",""Slovenia"",13.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W46"",""CZ"",""Czechia"",2.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W46"",""DE"",""Germany"",1.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W46"",""DK"",""Denmark"",0.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W46"",""EE"",""Estonia"",0.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W46"",""EL"",""Greece"",0.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W46"",""ES"",""Spain"",27.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W46"",""EU31_UKX"",""EU/EEA"",276.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W46"",""FI"",""Finland"",0.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W46"",""FR"",""France"",167.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W46"",""IE"",""Ireland"",29.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W46"",""IT"",""Italy"",0.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W46"",""LV"",""Latvia"",0.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W46"",""NL"",""Netherlands"",4.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W46"",""PL"",""Poland"",0.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W46"",""PT"",""Portugal"",2.000000000,"""""
