Uge;Doede
2015U06;1118
2015U07;1106
2015U08;1131
2015U09;1177
2015U10;1210
2015U11;1184
2015U12;1086
2015U13;1093
2015U14;1044
2015U15;1081
2015U16;1052
2015U17;934
2015U18;996
2015U19;978
2015U20;921
2015U21;974
2015U22;977
2015U23;959
2015U24;1017
2015U25;913
2015U26;897
2015U27;942
2015U28;951
2015U29;917
2015U30;951
2015U31;947
2015U32;929
2015U33;953
2015U34;926
2015U35;901
2015U36;879
2015U37;913
2015U38;942
2015U39;963
2015U40;959
2015U41;927
2015U42;948
2015U43;997
2015U44;993
2015U45;971
2015U46;985
2015U47;986
2015U48;1083
2015U49;1105
2015U50;1033
2015U51;1024
2015U52;994
2015U53;986
2016U01;1103
2016U02;1065
2016U03;1046
2016U04;1124
2016U05;1083
2016U06;1040
2016U07;1062
2016U08;1124
2016U09;1143
2016U10;1149
2016U11;1159
2016U12;1074
2016U13;1084
2016U14;1023
2016U15;1071
2016U16;1010
2016U17;985
2016U18;1042
2016U19;1023
2016U20;935
2016U21;975
2016U22;953
2016U23;913
2016U24;920
2016U25;983
2016U26;897
2016U27;924
2016U28;898
2016U29;971
2016U30;962
2016U31;902
2016U32;956
2016U33;914
2016U34;971
2016U35;922
2016U36;955
2016U37;932
2016U38;904
2016U39;983
2016U40;910
2016U41;1022
2016U42;1040
2016U43;989
2016U44;1003
2016U45;1017
2016U46;1045
2016U47;1046
2016U48;1010
2016U49;1043
2016U50;1067
2016U51;1060
2016U52;1149
2017U01;1113
2017U02;1111
2017U03;1099
2017U04;1104
2017U05;1211
2017U06;1100
2017U07;1228
2017U08;1156
2017U09;1179
2017U10;1101
2017U11;1132
2017U12;1126
2017U13;1041
2017U14;988
2017U15;1009
2017U16;967
2017U17;974
2017U18;1059
2017U19;1015
2017U20;1022
2017U21;969
2017U22;956
2017U23;985
2017U24;1023
2017U25;980
2017U26;938
2017U27;905
2017U28;941
2017U29;931
2017U30;925
2017U31;934
2017U32;932
2017U33;906
2017U34;953
2017U35;951
2017U36;918
2017U37;991
2017U38;979
2017U39;983
2017U40;978
2017U41;985
2017U42;970
2017U43;934
2017U44;976
2017U45;956
2017U46;1070
2017U47;1011
2017U48;1027
2017U49;1067
2017U50;1102
2017U51;1058
2017U52;1134
2018U01;1134
2018U02;1136
2018U03;1156
2018U04;1119
2018U05;1157
2018U06;1186
2018U07;1265
2018U08;1260
2018U09;1323
2018U10;1337
2018U11;1253
2018U12;1286
2018U13;1186
2018U14;1138
2018U15;1164
2018U16;1052
2018U17;1008
2018U18;1010
2018U19;1025
2018U20;1012
2018U21;953
2018U22;977
2018U23;1009
2018U24;941
2018U25;958
2018U26;915
2018U27;1007
2018U28;971
2018U29;994
2018U30;1091
2018U31;1084
2018U32;1029
2018U33;1017
2018U34;990
2018U35;935
2018U36;975
2018U37;949
2018U38;994
2018U39;950
2018U40;1033
2018U41;992
2018U42;958
2018U43;973
2018U44;1007
2018U45;992
2018U46;954
2018U47;996
2018U48;994
2018U49;1085
2018U50;1044
2018U51;1096
2018U52;1006
2019U01;1130
2019U02;1155
2019U03;1118
2019U04;1085
2019U05;1209
2019U06;1250
2019U07;1176
2019U08;1110
2019U09;1090
2019U10;1051
2019U11;1063
2019U12;1039
2019U13;1022
2019U14;1085
2019U15;1018
2019U16;1046
2019U17;1015
2019U18;1067
2019U19;1028
2019U20;974
2019U21;970
2019U22;983
2019U23;991
2019U24;969
2019U25;1015
2019U26;1002
2019U27;935
2019U28;953
2019U29;977
2019U30;967
2019U31;962
2019U32;936
2019U33;931
2019U34;1006
2019U35;996
2019U36;983
2019U37;966
2019U38;1007
2019U39;1016
2019U40;972
2019U41;1033
2019U42;998
2019U43;1026
2019U44;954
2019U45;1046
2019U46;1037
2019U47;1057
2019U48;1095
2019U49;1104
2019U50;1107
2019U51;1042
2019U52;1038
2020U01;1117
2020U02;1150
2020U03;1071
2020U04;1033
2020U05;1094
2020U06;1079
2020U07;1059
2020U08;1034
2020U09;1025
2020U10;1061
2020U11;1066
2020U12;1140
2020U13;1112
2020U14;1156
2020U15;1143
2020U16;1078
2020U17;1086
2020U18;1048
2020U19;1027
2020U20;951
2020U21;994
2020U22;968
2020U23;962
2020U24;1000
2020U25;948
2020U26;984
2020U27;996
2020U28;957
2020U29;1026
2020U30;944
2020U31;983
2020U32;957
2020U33;993
2020U34;995
2020U35;953
2020U36;985
2020U37;984
2020U38;1082
2020U39;974
2020U40;996
2020U41;938
2020U42;1008
2020U43;1096
2020U44;979
2020U45;1026
2020U46;1097
2020U47;1082
2020U48;1097
2020U49;1105
2020U50;1095
2020U51;1273
2020U52;1212
2020U53;1259
2021U01;1234
2021U02;1213
2021U03;1270
2021U04;1218
2021U05;1206
2021U06;1113
2021U07;1062
2021U08;970
2021U09;975
2021U10;1052
2021U11;968
2021U12;1034
2021U13;973
2021U14;976
2021U15;1029
2021U16;1059
2021U17;1014
2021U18;1120
2021U19;1046
2021U20;1049
2021U21;1032
2021U22;1031
2021U23;1053
2021U24;1000
2021U25;1006
2021U26;1061
2021U27;956
2021U28;1075
2021U29;1051
2021U30;1057
2021U31;1134
